Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-01-01T00:00:00.0/2019-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T01:00:00.0/2019-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T02:00:00.0/2019-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T03:00:00.0/2019-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T04:00:00.0/2019-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T05:00:00.0/2019-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T06:00:00.0/2019-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T07:00:00.0/2019-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T08:00:00.0/2019-01-01T09:00:00.0;61.3546;25.2540;10.8782;14.3758;154.5432;15.4977;0.7943;14.7035;12.2979;1.0000
2019-01-01T09:00:00.0/2019-01-01T10:00:00.0;207.9701;115.3959;73.1760;42.2199;484.4101;24.8180;0.0000;24.8180;0.0000;1.0000
2019-01-01T10:00:00.0/2019-01-01T11:00:00.0;313.0943;195.7109;140.2914;55.4195;628.8377;78.7916;0.0000;78.7916;0.0000;1.0000
2019-01-01T11:00:00.0/2019-01-01T12:00:00.0;367.5522;239.8062;179.2628;60.5434;686.4258;106.3961;0.0000;106.3961;0.0000;1.0000
2019-01-01T12:00:00.0/2019-01-01T13:00:00.0;367.6335;240.4709;180.5222;59.9486;691.1572;118.0341;0.1352;117.8990;0.5409;1.0000
2019-01-01T13:00:00.0/2019-01-01T14:00:00.0;313.3337;197.5253;143.6705;53.8547;643.7894;102.8395;0.9500;101.8895;3.9500;1.0000
2019-01-01T14:00:00.0/2019-01-01T15:00:00.0;208.3553;117.7750;77.3369;40.4381;512.3772;59.6824;1.3518;58.3307;12.3631;1.0000
2019-01-01T15:00:00.0/2019-01-01T16:00:00.0;61.7818;26.1712;12.0924;14.0787;172.8958;19.2234;3.0422;16.1812;39.1963;1.0000
2019-01-01T16:00:00.0/2019-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T17:00:00.0/2019-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
