Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-01-01T00:00:00.0/2019-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T01:00:00.0/2019-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T02:00:00.0/2019-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T03:00:00.0/2019-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T04:00:00.0/2019-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T05:00:00.0/2019-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T06:00:00.0/2019-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T07:00:00.0/2019-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T08:00:00.0/2019-01-01T09:00:00.0;53.7029;21.6153;8.9602;12.6552;135.0706;13.8570;0.7945;13.0625;12.2939;1.0000
2019-01-01T09:00:00.0/2019-01-01T10:00:00.0;200.6472;110.1136;68.9998;41.1138;472.0027;24.1011;0.0000;24.1011;0.0000;1.0000
2019-01-01T10:00:00.0/2019-01-01T11:00:00.0;308.4275;192.0038;137.0773;54.9265;623.5074;75.4968;0.0000;75.4968;0.0000;1.0000
2019-01-01T11:00:00.0/2019-01-01T12:00:00.0;365.8900;238.4308;178.0186;60.4121;684.7161;105.6904;0.0000;105.6904;0.0000;1.0000
2019-01-01T12:00:00.0/2019-01-01T13:00:00.0;369.1216;241.6397;181.5106;60.1291;692.1697;117.4240;0.0472;117.3768;0.1878;1.0000
2019-01-01T13:00:00.0/2019-01-01T14:00:00.0;317.9032;201.1164;146.7428;54.3736;648.2930;105.4888;1.0396;104.4492;4.3095;1.0000
2019-01-01T14:00:00.0/2019-01-01T15:00:00.0;215.7253;123.1491;81.6507;41.4984;523.7369;61.3119;0.8816;60.4303;7.7893;1.0000
2019-01-01T15:00:00.0/2019-01-01T16:00:00.0;70.2329;30.4055;14.5267;15.8787;195.9744;22.0759;3.5178;18.5580;43.8439;1.0000
2019-01-01T16:00:00.0/2019-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-01-01T17:00:00.0/2019-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
