edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,1.7637,1.54007,1.71585,1.49319
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,-1.28169,-1.18794,-1.10591,-1.01314
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,271.052,271.101,270.904,271.09
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,1.72401,1.48182,1.64833,1.40663
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,-1.48473,-1.34801,-1.3568,-1.22105
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,271.51,271.542,271.44,271.575
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,1.56266,1.36491,1.47136,1.2736
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,-1.85783,-1.71233,-1.81877,-1.67424
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,271.374,271.321,271.354,271.397
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,1.28774,1.11245,1.11196,0.936666
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,-2.17435,-1.96536,-2.20364,-1.99564
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,271.297,271.152,271.432,271.379
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,0.894704,0.810719,0.644704,0.561208
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,-2.51428,-2.20374,-2.63635,-2.32776
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,271.848,271.58,272.139,271.957
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,0.583584,0.624599,0.356045,0.396572
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,-2.78267,-2.39302,-2.94771,-2.56001
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,273.128,272.792,273.365,273.116
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,0.642353,0.733662,0.463642,0.554951
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,-2.83528,-2.46907,-2.96126,-2.59505
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,273.356,273.002,273.598,273.342
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,0.801247,0.870583,0.724098,0.792458
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,-2.86894,-2.59062,-2.94902,-2.67265
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,273.895,273.729,274.104,274.041
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,0.957413,1.0414,0.85585,0.938858
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,-2.95401,-2.67471,-3.05655,-2.77725
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,273.965,273.797,274.125,274.061
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,1.0639,1.15277,0.957458,1.04633
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,-2.94014,-2.65987,-3.02998,-2.75069
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,273.974,273.758,274.07,273.961
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,1.17772,1.28612,1.06737,1.17479
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,-2.95111,-2.63568,-3.02142,-2.70697
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,274.388,274.232,274.396,274.363
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,1.34573,1.46487,1.22757,1.34671
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,-2.98645,-2.64661,-3.07825,-2.7384
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,275.044,274.949,275.003,275.039
1,ecmf,surface,0,20210101,12,fc,10u,grid_simple,regular_ll,1.69679,1.81398,1.52296,1.63918
1,ecmf,surface,0,20210101,12,fc,10v,grid_simple,regular_ll,-2.71538,-2.57085,-2.731,-2.58647
1,ecmf,surface,0,20210101,12,fc,2t,grid_simple,regular_ll,275.675,275.673,275.567,275.671
1,ecmf,surface,0,20210101,13,fc,10u,grid_simple,regular_ll,1.83391,1.92375,1.6552,1.74406
1,ecmf,surface,0,20210101,13,fc,10v,grid_simple,regular_ll,-2.56522,-2.45779,-2.60037,-2.49197
1,ecmf,surface,0,20210101,13,fc,2t,grid_simple,regular_ll,275.801,275.834,275.707,275.844
1,ecmf,surface,0,20210101,14,fc,10u,grid_simple,regular_ll,1.77119,1.88252,1.59053,1.70284
1,ecmf,surface,0,20210101,14,fc,10v,grid_simple,regular_ll,-2.71048,-2.57181,-2.82571,-2.68802
1,ecmf,surface,0,20210101,14,fc,2t,grid_simple,regular_ll,275.824,275.858,275.746,275.879
1,ecmf,surface,0,20210101,15,fc,10u,grid_simple,regular_ll,1.47404,1.62834,1.31193,1.46525
1,ecmf,surface,0,20210101,15,fc,10v,grid_simple,regular_ll,-3.06026,-2.78584,-3.05733,-2.78194
1,ecmf,surface,0,20210101,15,fc,2t,grid_simple,regular_ll,275.518,275.505,275.428,275.514
1,ecmf,surface,0,20210101,16,fc,10u,grid_simple,regular_ll,1.45549,1.59123,1.31779,1.45256
1,ecmf,surface,0,20210101,16,fc,10v,grid_simple,regular_ll,-2.9003,-2.6376,-2.89737,-2.63565
1,ecmf,surface,0,20210101,16,fc,2t,grid_simple,regular_ll,274.802,274.712,274.737,274.745
1,ecmf,surface,0,20210101,17,fc,10u,grid_simple,regular_ll,1.38361,1.48517,1.26251,1.36212
1,ecmf,surface,0,20210101,17,fc,10v,grid_simple,regular_ll,-2.86201,-2.61201,-2.8503,-2.60127
1,ecmf,surface,0,20210101,17,fc,2t,grid_simple,regular_ll,274.226,274.082,274.146,274.095
1,ecmf,surface,0,20210101,18,fc,10u,grid_simple,regular_ll,1.28211,1.34851,1.1698,1.23523
1,ecmf,surface,0,20210101,18,fc,10v,grid_simple,regular_ll,-2.81357,-2.57333,-2.7999,-2.56064
1,ecmf,surface,0,20210101,18,fc,2t,grid_simple,regular_ll,273.708,273.55,273.642,273.554
1,ecmf,surface,0,20210101,19,fc,10u,grid_simple,regular_ll,1.28189,1.35904,1.21256,1.28971
1,ecmf,surface,0,20210101,19,fc,10v,grid_simple,regular_ll,-2.72122,-2.48782,-2.65579,-2.42142
1,ecmf,surface,0,20210101,19,fc,2t,grid_simple,regular_ll,274.153,274.039,274.067,274.039
1,ecmf,surface,0,20210101,20,fc,10u,grid_simple,regular_ll,1.441,1.47714,1.3785,1.41366
1,ecmf,surface,0,20210101,20,fc,10v,grid_simple,regular_ll,-2.40788,-2.21941,-2.33659,-2.14812
1,ecmf,surface,0,20210101,20,fc,2t,grid_simple,regular_ll,273.447,273.344,273.367,273.355
1,ecmf,surface,0,20210101,21,fc,10u,grid_simple,regular_ll,1.63268,1.61706,1.58679,1.57116
1,ecmf,surface,0,20210101,21,fc,10v,grid_simple,regular_ll,-2.29451,-2.1451,-2.20076,-2.05135
1,ecmf,surface,0,20210101,21,fc,2t,grid_simple,regular_ll,272.528,272.479,272.46,272.499
1,ecmf,surface,0,20210101,22,fc,10u,grid_simple,regular_ll,1.68044,1.60232,1.6321,1.55447
1,ecmf,surface,0,20210101,22,fc,10v,grid_simple,regular_ll,-2.25909,-2.11847,-2.14581,-2.00421
1,ecmf,surface,0,20210101,22,fc,2t,grid_simple,regular_ll,272.152,272.103,272.101,272.142
1,ecmf,surface,0,20210101,23,fc,10u,grid_simple,regular_ll,1.5632,1.43332,1.51779,1.38791
1,ecmf,surface,0,20210101,23,fc,10v,grid_simple,regular_ll,-2.21899,-2.08423,-2.0813,-1.94751
1,ecmf,surface,0,20210101,23,fc,2t,grid_simple,regular_ll,271.959,271.865,271.928,271.924
1,ecmf,surface,0,20210101,24,fc,10u,grid_simple,regular_ll,1.46721,1.31633,1.4467,1.29631
