dataDate,10u,10v,2t
2020-12-31 00:00:00,1.7637,-1.28169,271.052
2021-01-01 00:00:00,1.46721,-2.01031,271.645
2021-01-01 01:00:00,1.72401,-1.48473,271.51
2021-01-01 02:00:00,1.56266,-1.85783,271.374
2021-01-01 03:00:00,1.28774,-2.17435,271.297
2021-01-01 04:00:00,0.894704,-2.51428,271.848
2021-01-01 05:00:00,0.583584,-2.78267,273.128
2021-01-01 06:00:00,0.642353,-2.83528,273.356
2021-01-01 07:00:00,0.801247,-2.86894,273.895
2021-01-01 08:00:00,0.957413,-2.95401,273.965
2021-01-01 09:00:00,1.0639,-2.94014,273.974
2021-01-01 10:00:00,1.17772,-2.95111,274.388
2021-01-01 11:00:00,1.34573,-2.98645,275.044
2021-01-01 12:00:00,1.69679,-2.71538,275.675
2021-01-01 13:00:00,1.83391,-2.56522,275.801
2021-01-01 14:00:00,1.77119,-2.71048,275.824
2021-01-01 15:00:00,1.47404,-3.06026,275.518
2021-01-01 16:00:00,1.45549,-2.9003,274.802
2021-01-01 17:00:00,1.38361,-2.86201,274.226
2021-01-01 18:00:00,1.28211,-2.81357,273.708
2021-01-01 19:00:00,1.28189,-2.72122,274.153
2021-01-01 20:00:00,1.441,-2.40788,273.447
2021-01-01 21:00:00,1.63268,-2.29451,272.528
2021-01-01 22:00:00,1.68044,-2.25909,272.152
2021-01-01 23:00:00,1.5632,-2.21899,271.959
2021-01-02 00:00:00,-0.293668,-3.67695,272.615
2021-01-02 01:00:00,1.54235,-1.70264,271.069
2021-01-02 02:00:00,1.79175,-1.56215,270.693
2021-01-02 03:00:00,1.95607,-1.55109,270.401
2021-01-02 04:00:00,1.98404,-1.50267,270.346
2021-01-02 05:00:00,2.07055,-1.40419,270.297
2021-01-02 06:00:00,2.12615,-1.34134,270.307
2021-01-02 07:00:00,2.30234,-1.00078,270.566
2021-01-02 08:00:00,2.29553,-0.739418,270.417
2021-01-02 09:00:00,2.12369,-0.427805,270.346
2021-01-02 10:00:00,1.67339,-0.425114,270.92
2021-01-02 11:00:00,1.67203,-0.808882,272.902
2021-01-02 12:00:00,1.60449,-1.55117,273.566
2021-01-02 13:00:00,1.20148,-2.24752,273.839
2021-01-02 14:00:00,0.757965,-2.50037,273.843
2021-01-02 15:00:00,0.786163,-2.35414,273.322
2021-01-02 16:00:00,0.883011,-2.51814,272.198
2021-01-02 17:00:00,0.825516,-2.81087,271.419
2021-01-02 18:00:00,0.298965,-3.22563,271.745
2021-01-02 19:00:00,-0.300995,-3.60903,272.407
2021-01-02 20:00:00,-0.336807,-3.60888,272.709
2021-01-02 21:00:00,-0.23255,-3.562,272.736
2021-01-02 22:00:00,-0.10008,-3.57008,272.693
2021-01-02 23:00:00,-0.158658,-3.61893,272.676
2021-01-03 00:00:00,-2.21014,-3.02459,272.527
2021-01-03 01:00:00,-0.399001,-3.75421,272.722
2021-01-03 02:00:00,-0.393951,-3.70144,272.884
2021-01-03 03:00:00,-0.474434,-3.70292,273.207
2021-01-03 04:00:00,-0.48909,-3.63609,273.514
2021-01-03 05:00:00,-0.474434,-3.47329,273.388
2021-01-03 06:00:00,-0.542256,-3.32978,273.401
2021-01-03 07:00:00,-1.24567,-3.51596,273.61
2021-01-03 08:00:00,-1.45946,-3.42797,273.866
2021-01-03 09:00:00,-1.63895,-3.33243,274.067
2021-01-03 10:00:00,-2.22876,-3.96634,274.407
2021-01-03 11:00:00,-2.7175,-4.27419,274.942
2021-01-03 12:00:00,-2.89526,-4.00611,275.406
2021-01-03 13:00:00,-3.09076,-3.5252,275.92
2021-01-03 14:00:00,-3.07161,-3.40601,275.7
2021-01-03 15:00:00,-2.97516,-3.22514,275.324
2021-01-03 16:00:00,-2.99533,-3.23024,274.435
2021-01-03 17:00:00,-2.99399,-3.29002,273.886
2021-01-03 18:00:00,-2.99927,-3.23202,273.641
2021-01-03 19:00:00,-3.53976,-2.68318,273.729
2021-01-03 20:00:00,-3.30901,-2.61653,273.69
2021-01-03 21:00:00,-2.98923,-2.67017,273.446
2021-01-03 22:00:00,-2.65211,-2.85282,273.224
2021-01-03 23:00:00,-2.37791,-3.00581,272.82
2021-01-04 00:00:00,-2.43112,-3.76894,273.107
2021-01-04 01:00:00,-2.06126,-2.97856,272.41
2021-01-04 02:00:00,-1.89806,-2.98188,272.288
2021-01-04 03:00:00,-1.78506,-2.99667,272.25
2021-01-04 04:00:00,-1.82841,-3.1365,272.276
2021-01-04 05:00:00,-2.07921,-3.35736,272.593
2021-01-04 06:00:00,-2.40417,-3.47056,272.951
2021-01-04 07:00:00,-2.69958,-3.65672,272.997
2021-01-04 08:00:00,-2.86436,-3.571,273.162
2021-01-04 09:00:00,-3.08972,-3.54956,273.415
2021-01-04 10:00:00,-3.49907,-3.57786,274.159
2021-01-04 11:00:00,-4.11842,-3.71641,274.83
2021-01-04 12:00:00,-4.50351,-3.75767,275.52
2021-01-04 13:00:00,-4.61093,-3.67049,275.834
2021-01-04 14:00:00,-4.1662,-3.33039,275.747
2021-01-04 15:00:00,-3.5977,-3.26247,275.209
2021-01-04 16:00:00,-3.21051,-3.29978,274.622
2021-01-04 17:00:00,-3.04201,-3.3267,274.271
2021-01-04 18:00:00,-2.99869,-3.3385,273.94
2021-01-04 19:00:00,-2.55115,-3.62454,273.794
2021-01-04 20:00:00,-2.55553,-3.71974,273.758
2021-01-04 21:00:00,-2.55951,-3.69232,273.506
2021-01-04 22:00:00,-2.54318,-3.76079,273.502
2021-01-04 23:00:00,-2.47865,-3.82568,273.326
2021-01-05 00:00:00,-0.911606,-3.0331,271.88
2021-01-05 01:00:00,-2.33073,-3.59366,272.772
2021-01-05 02:00:00,-2.08455,-3.42714,272.418
2021-01-05 03:00:00,-1.73648,-3.34477,272.107
2021-01-05 04:00:00,-1.34366,-3.33746,271.917
2021-01-05 05:00:00,-1.09618,-3.40974,272.024
2021-01-05 06:00:00,-0.973679,-3.43907,272.11
2021-01-05 07:00:00,-1.1772,-3.4732,271.962
2021-01-05 08:00:00,-1.22336,-3.3763,271.948
2021-01-05 09:00:00,-1.25089,-3.37488,272.037
2021-01-05 10:00:00,-1.3979,-3.52164,272.739
2021-01-05 11:00:00,-1.5184,-3.84325,273.855
2021-01-05 12:00:00,-1.75938,-3.88614,274.56
2021-01-05 13:00:00,-2.36523,-3.9945,275.061
2021-01-05 14:00:00,-2.64467,-3.89412,274.978
2021-01-05 15:00:00,-1.98561,-3.43783,274.612
2021-01-05 16:00:00,-1.69086,-3.40034,273.842
2021-01-05 17:00:00,-1.57945,-3.43105,273.359
2021-01-05 18:00:00,-1.44997,-3.41194,272.82
2021-01-05 19:00:00,-1.35941,-3.44275,272.636
2021-01-05 20:00:00,-1.16982,-3.37897,272.534
2021-01-05 21:00:00,-1.04333,-3.2809,272.291
2021-01-05 22:00:00,-1.02141,-3.22717,272.214
2021-01-05 23:00:00,-1.01294,-3.12753,272.029
2021-01-06 00:00:00,1.30415,-1.38653,270.02
2021-01-06 01:00:00,-0.831024,-3.02784,271.931
2021-01-06 02:00:00,-0.82193,-3.04955,272.173
2021-01-06 03:00:00,-0.809067,-3.02789,272.087
2021-01-06 04:00:00,-0.836548,-2.97165,271.823
2021-01-06 05:00:00,-0.881454,-2.91656,271.986
2021-01-06 06:00:00,-0.873215,-2.83369,271.749
2021-01-06 07:00:00,-1.01669,-2.92653,271.628
2021-01-06 08:00:00,-1.05495,-2.77145,271.705
2021-01-06 09:00:00,-1.0472,-2.75403,272.009
2021-01-06 10:00:00,-1.12073,-2.72152,272.755
2021-01-06 11:00:00,-1.48273,-3.07484,273.863
2021-01-06 12:00:00,-1.87347,-3.06799,274.714
2021-01-06 13:00:00,-1.93225,-2.68308,275.167
2021-01-06 14:00:00,-1.7803,-2.41187,275.164
2021-01-06 15:00:00,-0.867493,-1.91355,274.605
2021-01-06 16:00:00,-0.317596,-2.12035,273.35
2021-01-06 17:00:00,-0.151291,-2.20796,272.256
2021-01-06 18:00:00,-0.146667,-2.15685,271.68
2021-01-06 19:00:00,0.405701,-1.87743,272.28
2021-01-06 20:00:00,0.681778,-1.78764,271.969
2021-01-06 21:00:00,0.93333,-1.7811,271.132
2021-01-06 22:00:00,1.05564,-1.60387,270.801
2021-01-06 23:00:00,1.20588,-1.51077,270.285
2021-01-07 00:00:00,0.757217,-0.949921,271.432
2021-01-07 01:00:00,1.4567,-1.22269,269.688
2021-01-07 02:00:00,1.52717,-1.16867,269.501
2021-01-07 03:00:00,1.47905,-1.07452,269.567
2021-01-07 04:00:00,1.39849,-0.848846,269.766
2021-01-07 05:00:00,1.37879,-0.694794,269.468
2021-01-07 06:00:00,1.37174,-0.57988,269.548
2021-01-07 07:00:00,1.44487,-0.545887,269.59
2021-01-07 08:00:00,1.45142,-0.480234,269.481
2021-01-07 09:00:00,1.50193,-0.485205,270.096
2021-01-07 10:00:00,1.66056,-0.430931,271.248
2021-01-07 11:00:00,1.93302,-0.405796,271.996
2021-01-07 12:00:00,2.30847,-0.278549,272.615
2021-01-07 13:00:00,2.63844,-0.246315,273.379
2021-01-07 14:00:00,2.75945,0.0142822,273.772
2021-01-07 15:00:00,1.98291,0.555038,273.544
2021-01-07 16:00:00,1.65648,1.03773,272.632
2021-01-07 17:00:00,1.52446,1.18183,272.059
2021-01-07 18:00:00,1.3786,1.21117,271.95
2021-01-07 19:00:00,0.952439,0.975538,271.694
2021-01-07 20:00:00,0.707718,0.748072,271.881
2021-01-07 21:00:00,0.689148,0.509712,271.663
2021-01-07 22:00:00,0.783401,0.200148,271.447
2021-01-07 23:00:00,0.853912,-0.338406,271.249
2021-01-08 00:00:00,-0.971985,-0.981583,271.629
2021-01-08 01:00:00,0.630875,-1.35995,271.703
2021-01-08 02:00:00,0.589035,-1.44922,272.021
2021-01-08 03:00:00,0.776566,-1.67079,271.827
2021-01-08 04:00:00,0.794403,-1.6954,272.399
2021-01-08 05:00:00,0.733338,-1.94246,272.753
2021-01-08 06:00:00,0.48094,-2.22856,272.87
2021-01-08 07:00:00,0.405856,-2.48853,272.797
2021-01-08 08:00:00,-0.156547,-2.83624,272.939
2021-01-08 09:00:00,-0.703904,-3.00099,272.986
2021-01-08 10:00:00,-1.16101,-2.91942,273.083
2021-01-08 11:00:00,-1.96973,-3.32933,273.337
2021-01-08 12:00:00,-2.55095,-3.59059,273.423
2021-01-08 13:00:00,-2.53684,-3.19394,273.418
2021-01-08 14:00:00,-2.22568,-2.51854,273.377
2021-01-08 15:00:00,-2.25902,-2.17012,273.366
2021-01-08 16:00:00,-2.6651,-2.18806,273.399
2021-01-08 17:00:00,-2.64325,-2.09578,273.457
2021-01-08 18:00:00,-2.63161,-2.09177,273.46
2021-01-08 19:00:00,-1.5114,-0.846588,272.811
2021-01-08 20:00:00,-1.53564,-0.743546,272.46
2021-01-08 21:00:00,-1.36809,-0.692444,272.178
2021-01-08 22:00:00,-1.03326,-0.84903,272.132
2021-01-08 23:00:00,-0.867584,-1.01105,271.93
2021-01-09 00:00:00,2.92406,0.676239,271.492
2021-01-09 01:00:00,-1.08632,-0.761765,271.077
2021-01-09 02:00:00,-0.906397,-0.553833,271.175
2021-01-09 03:00:00,-0.614244,-0.497177,271.609
2021-01-09 04:00:00,-0.276498,-0.531082,271.787
2021-01-09 05:00:00,0.209022,-0.624756,271.653
2021-01-09 06:00:00,0.668259,-0.758011,270.649
2021-01-09 07:00:00,0.933836,-0.380676,271.074
2021-01-09 08:00:00,1.07374,-0.317398,270.947
2021-01-09 09:00:00,1.18105,-0.211411,270.909
2021-01-09 10:00:00,1.33463,0.0534821,271.698
2021-01-09 11:00:00,2.16571,0.484009,273.098
2021-01-09 12:00:00,2.46028,0.871964,273.11
2021-01-09 13:00:00,2.70625,0.840165,272.969
2021-01-09 14:00:00,2.70193,0.795427,272.866
2021-01-09 15:00:00,2.75275,0.486749,272.694
2021-01-09 16:00:00,2.30843,0.596756,272.422
2021-01-09 17:00:00,2.23062,0.880859,271.98
2021-01-09 18:00:00,2.226,0.929489,271.377
2021-01-09 19:00:00,2.56319,1.10646,271.585
2021-01-09 20:00:00,2.73119,1.05325,271.516
2021-01-09 21:00:00,2.84895,0.969467,271.25
2021-01-09 22:00:00,2.89484,0.762283,271.168
2021-01-09 23:00:00,2.86206,0.709442,271.011
2021-01-10 00:00:00,4.46649,0.81723,276.427
2021-01-10 01:00:00,3.08798,0.44577,272.262
2021-01-10 02:00:00,3.28203,0.145065,273.06
2021-01-10 03:00:00,3.41986,-0.0357513,273.619
2021-01-10 04:00:00,3.35738,-0.151962,273.911
2021-01-10 05:00:00,3.30653,-0.173752,274.086
2021-01-10 06:00:00,3.30383,-0.189026,274.413
2021-01-10 07:00:00,3.444,-0.270828,274.4
2021-01-10 08:00:00,3.27417,-0.123978,274.49
2021-01-10 09:00:00,3.24011,-0.0889587,274.662
2021-01-10 10:00:00,3.29468,-0.219116,274.988
2021-01-10 11:00:00,3.34096,-0.202545,275.555
2021-01-10 12:00:00,3.22845,0.0686493,275.987
2021-01-10 13:00:00,3.42923,0.117828,276.04
2021-01-10 14:00:00,3.44579,0.181992,276.171
2021-01-10 15:00:00,3.21727,0.62711,276.276
2021-01-10 16:00:00,3.04468,1.16263,276.2
2021-01-10 17:00:00,3.05537,1.43643,276.122
2021-01-10 18:00:00,3.16223,1.58199,276.103
2021-01-10 19:00:00,3.28566,1.36409,275.559
2021-01-10 20:00:00,3.61836,1.21724,275.782
2021-01-10 21:00:00,3.71944,1.11511,275.969
2021-01-10 22:00:00,3.94557,0.887436,276.113
2021-01-10 23:00:00,4.20274,0.882187,276.273
2021-01-11 00:00:00,6.13638,0.393982,280.37
2021-01-11 01:00:00,4.60292,0.82222,276.588
2021-01-11 02:00:00,4.79755,0.877106,276.682
2021-01-11 03:00:00,4.93024,0.90863,276.761
2021-01-11 04:00:00,4.9767,0.872559,276.765
2021-01-11 05:00:00,5.09265,0.897003,276.537
2021-01-11 06:00:00,5.28662,1.00197,276.841
2021-01-11 07:00:00,5.15157,1.25584,276.708
2021-01-11 08:00:00,5.21997,1.43237,276.754
2021-01-11 09:00:00,5.19502,1.67468,276.903
2021-01-11 10:00:00,5.07326,1.89935,277.236
2021-01-11 11:00:00,4.84985,2.42137,277.627
2021-01-11 12:00:00,5.03401,2.83685,277.845
2021-01-11 13:00:00,5.52844,2.79393,278.13
2021-01-11 14:00:00,5.8074,2.48567,278.446
2021-01-11 15:00:00,5.93562,2.2981,278.851
2021-01-11 16:00:00,5.8286,2.03654,279.127
2021-01-11 17:00:00,5.83295,1.71983,279.401
2021-01-11 18:00:00,5.95758,1.32823,279.707
2021-01-11 19:00:00,5.93164,1.52628,279.456
2021-01-11 20:00:00,6.32321,1.12575,279.855
2021-01-11 21:00:00,6.88301,0.854294,280.286
2021-01-11 22:00:00,6.92294,0.447311,280.406
2021-01-11 23:00:00,6.46777,0.397491,280.374
2021-01-12 00:00:00,1.74597,0.640467,271.574
2021-01-12 01:00:00,5.42279,-0.777893,279.741
2021-01-12 02:00:00,4.62753,-2.33516,279.464
