edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,0.42044,0.47708,0.436065,0.498076
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,-1.74947,-1.74654,-1.78169,-1.83052
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,272.158,272.785,272.855,272.744
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,0.521376,0.561415,0.520399,0.564344
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,-1.79137,-1.79039,-1.85094,-1.89391
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,271.958,272.53,272.594,272.481
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,0.548016,0.576824,0.523113,0.561687
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,-1.8344,-1.84709,-1.91252,-1.9594
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,271.792,272.276,272.384,272.235
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,0.574362,0.601217,0.52651,0.553854
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,-1.87064,-1.8765,-1.9556,-2.00443
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,271.557,272.014,272.113,271.975
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,0.60027,0.625661,0.518727,0.527516
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,-1.81995,-1.83752,-1.92053,-1.98792
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,271.623,272,272.152,271.965
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,0.672451,0.689541,0.583096,0.588467
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,-1.74556,-1.76509,-1.85005,-1.91255
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,271.652,272.021,272.163,271.995
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,0.666279,0.694111,0.586689,0.611591
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,-1.6429,-1.6595,-1.74446,-1.80598
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,272.018,272.399,272.49,272.272
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,0.604958,0.620583,0.540504,0.548317
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,-1.6834,-1.71465,-1.76738,-1.85234
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,272.156,272.455,272.598,272.33
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,0.565811,0.589249,0.493546,0.516006
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,-1.60635,-1.63077,-1.72842,-1.78506
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,272.354,272.709,272.667,272.44
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,0.663513,0.697693,0.600037,0.643005
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,-1.42549,-1.44991,-1.58565,-1.65596
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,273.041,273.381,273.064,272.707
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,0.791977,0.821274,0.743149,0.785141
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,-1.26068,-1.30072,-1.42377,-1.51752
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,273.904,274.136,273.802,273.158
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,0.789093,0.811554,0.748077,0.773468
