Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;34.7436;12.2487;2.9778;9.2709;53.7526;9.0644;0.1154;8.9490;1.8252;1.0000
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;166.9913;84.8460;42.7760;42.0701;345.7055;33.6034;0.0000;33.6034;0.0000;1.0000
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;267.2660;158.3478;97.8185;60.5293;512.7249;47.7115;0.0000;47.7115;0.0000;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;319.2159;199.1858;130.8102;68.3756;576.6968;84.0954;1.8571;82.2383;8.0142;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;319.3016;199.5289;131.6571;67.8717;580.3188;114.7846;20.0732;94.7115;90.4207;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;267.5191;159.2574;99.7583;59.4991;522.6131;122.5528;56.1875;66.3653;297.9783;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;167.3993;86.0034;44.6915;41.3119;361.1402;48.9811;8.7132;40.2679;58.5469;1.0000
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;35.1089;12.5603;3.1673;9.3931;56.7571;9.1316;0.0885;9.0432;1.3961;1.0000
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;36.0660;14.6417;6.7677;7.8740;127.0883;10.8963;2.2186;8.6777;36.3892;1.0000
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;169.0191;93.9060;62.6494;31.2566;507.8355;35.3928;1.0169;34.3759;12.2993;1.0000
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;269.3687;169.4399;126.3510;43.0889;658.2298;85.6199;0.4094;85.2106;1.9268;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;321.3609;210.4655;162.4214;48.0441;711.3860;103.8201;4.6114;99.2087;20.4475;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;321.4541;209.7517;160.0130;49.7387;700.4935;67.2983;0.0000;67.2983;0.0000;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;269.6436;167.4637;120.1438;47.3199;624.5352;73.7356;0.0000;73.7356;0.0000;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;169.4626;91.2686;55.2009;36.0677;442.3577;37.4570;0.0000;37.4570;0.0000;1.0000
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;36.4509;13.8136;4.6491;9.1646;83.8371;7.3567;0.0000;7.3567;0.0000;1.0000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;37.4977;13.4343;3.3912;10.0431;59.4945;10.3119;0.3925;9.9195;5.7807;1.0000
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;171.2192;87.5488;44.1822;43.3666;349.0537;62.6301;14.6873;47.9428;104.4230;1.0000
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;271.6485;161.5271;99.4464;62.0807;512.9374;93.0144;18.0799;74.9345;101.9531;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;323.6858;202.5346;132.4264;70.1083;575.7813;72.0167;0.0000;72.0167;0.0000;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;323.7864;203.6020;135.6757;67.9263;589.8962;34.1676;0.0000;34.1676;0.0000;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;271.9455;164.2926;107.1636;57.1290;553.0051;27.3906;0.0000;27.3906;0.0000;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;171.6985;91.1141;52.4557;38.6585;417.2980;46.4910;4.2724;42.2186;43.6276;1.0000
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;37.9190;14.3545;4.8678;9.4867;86.4426;9.6267;0.1171;9.5096;1.5832;1.0000
2021-01-03T16:00:00.0/2021-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T17:00:00.0/2021-01-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T18:00:00.0/2021-01-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T19:00:00.0/2021-01-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T20:00:00.0/2021-01-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T21:00:00.0/2021-01-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T22:00:00.0/2021-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T23:00:00.0/2021-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T00:00:00.0/2021-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T01:00:00.0/2021-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T02:00:00.0/2021-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T03:00:00.0/2021-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T04:00:00.0/2021-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T05:00:00.0/2021-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
