edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,3.78519,3.56644,9999,3.49026
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,-1.12544,-1.04927,9999,-0.95845
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,272.181,271.957,9999,272.179
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,3.78895,3.58339,9999,3.50624
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,-1.13707,-1.0775,9999,-1.02672
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,272.434,272.229,9999,272.546
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,3.9113,3.68473,9999,3.5153
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,-1.30803,-1.27287,9999,-1.36467
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,272.393,272.227,9999,272.684
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,3.62319,3.39565,9999,3.16518
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,-1.89505,-1.85208,9999,-2.03275
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,273.156,273.004,9999,273.604
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,3.12761,2.91961,9999,2.72527
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,-2.60413,-2.55334,9999,-2.76721
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,274.105,273.959,9999,274.586
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,2.70663,2.52548,9999,2.40097
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,-3.47212,-3.40083,9999,-3.57564
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,275.111,274.941,9999,275.505
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,2.30056,2.19216,9999,2.18874
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,-3.77083,-3.68782,9999,-3.78548
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,276.158,275.996,9999,276.451
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,2.99754,2.853,9999,2.79441
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,-3.19316,-3.21855,9999,-3.35429
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,276.172,276.105,9999,276.545
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,2.81483,2.72206,9999,2.67226
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,-3.50381,-3.5253,9999,-3.61319
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,276.711,276.614,9999,276.965
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,2.73969,2.65472,9999,2.51801
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,-3.47041,-3.48018,9999,-3.62178
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,276.801,276.672,9999,276.978
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,2.32323,2.25194,9999,2.06151
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,-3.90424,-3.87787,9999,-3.98236
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,277.816,277.613,9999,277.853
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,1.36722,1.38968,9999,1.25003
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,-4.78723,-4.6593,9999,-4.66907
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,278.83,278.574,9999,278.781
1,ecmf,surface,0,20210101,12,fc,10u,grid_simple,regular_ll,0.800308,0.930191,9999,0.859879
1,ecmf,surface,0,20210101,12,fc,10v,grid_simple,regular_ll,-5.22905,-4.99565,9999,-5.00737
1,ecmf,surface,0,20210101,12,fc,2t,grid_simple,regular_ll,279.366,279.108,9999,279.286
1,ecmf,surface,0,20210101,13,fc,10u,grid_simple,regular_ll,0.833908,0.965744,9999,0.888596
1,ecmf,surface,0,20210101,13,fc,10v,grid_simple,regular_ll,-5.03494,-4.82889,9999,-4.88358
1,ecmf,surface,0,20210101,13,fc,2t,grid_simple,regular_ll,279.24,279.002,9999,279.153
1,ecmf,surface,0,20210101,14,fc,10u,grid_simple,regular_ll,0.921585,1.03389,9999,0.984085
1,ecmf,surface,0,20210101,14,fc,10v,grid_simple,regular_ll,-4.92337,-4.74466,9999,-4.86282
1,ecmf,surface,0,20210101,14,fc,2t,grid_simple,regular_ll,279.026,278.819,9999,278.983
1,ecmf,surface,0,20210101,15,fc,10u,grid_simple,regular_ll,1.20939,1.2758,9999,1.23088
1,ecmf,surface,0,20210101,15,fc,10v,grid_simple,regular_ll,-4.86006,-4.72237,9999,-4.82002
1,ecmf,surface,0,20210101,15,fc,2t,grid_simple,regular_ll,278.587,278.405,9999,278.649
1,ecmf,surface,0,20210101,16,fc,10u,grid_simple,regular_ll,1.52385,1.54143,9999,1.52483
1,ecmf,surface,0,20210101,16,fc,10v,grid_simple,regular_ll,-4.92862,-4.79776,9999,-4.82315
1,ecmf,surface,0,20210101,16,fc,2t,grid_simple,regular_ll,278.146,277.997,9999,278.226
1,ecmf,surface,0,20210101,17,fc,10u,grid_simple,regular_ll,1.70978,1.72247,9999,1.74591
1,ecmf,surface,0,20210101,17,fc,10v,grid_simple,regular_ll,-4.98799,-4.84932,9999,-4.86787
1,ecmf,surface,0,20210101,17,fc,2t,grid_simple,regular_ll,277.845,277.685,9999,277.884
1,ecmf,surface,0,20210101,18,fc,10u,grid_simple,regular_ll,1.88855,1.88074,9999,1.87781
1,ecmf,surface,0,20210101,18,fc,10v,grid_simple,regular_ll,-5.20908,-5.0665,9999,-5.07822
1,ecmf,surface,0,20210101,18,fc,2t,grid_simple,regular_ll,277.898,277.693,9999,277.841
1,ecmf,surface,0,20210101,19,fc,10u,grid_simple,regular_ll,1.61588,1.60709,9999,1.62174
1,ecmf,surface,0,20210101,19,fc,10v,grid_simple,regular_ll,-5.88138,-5.65872,9999,-5.59232
1,ecmf,surface,0,20210101,19,fc,2t,grid_simple,regular_ll,277.983,277.797,9999,277.946
1,ecmf,surface,0,20210101,20,fc,10u,grid_simple,regular_ll,1.61386,1.60604,9999,1.66366
1,ecmf,surface,0,20210101,20,fc,10v,grid_simple,regular_ll,-5.63347,-5.39909,9999,-5.29558
1,ecmf,surface,0,20210101,20,fc,2t,grid_simple,regular_ll,277.89,277.644,9999,277.734
1,ecmf,surface,0,20210101,21,fc,10u,grid_simple,regular_ll,1.98913,1.95104,9999,2.00183
1,ecmf,surface,0,20210101,21,fc,10v,grid_simple,regular_ll,-5.29939,-5.06502,9999,-4.97127
1,ecmf,surface,0,20210101,21,fc,2t,grid_simple,regular_ll,277.934,277.591,9999,277.587
1,ecmf,surface,0,20210101,22,fc,10u,grid_simple,regular_ll,2.50271,2.44851,9999,2.46462
1,ecmf,surface,0,20210101,22,fc,10v,grid_simple,regular_ll,-4.98175,-4.75519,9999,-4.67316
1,ecmf,surface,0,20210101,22,fc,2t,grid_simple,regular_ll,277.672,277.277,9999,277.267
1,ecmf,surface,0,20210101,23,fc,10u,grid_simple,regular_ll,3.00705,2.91769,9999,2.89133
1,ecmf,surface,0,20210101,23,fc,10v,grid_simple,regular_ll,-4.8645,-4.65942,9999,-4.54517
1,ecmf,surface,0,20210101,23,fc,2t,grid_simple,regular_ll,277.396,277.01,9999,277.018
1,ecmf,surface,0,20210101,24,fc,10u,grid_simple,regular_ll,3.19963,3.09465,9999,3.06145
1,ecmf,surface,0,20210101,24,fc,10v,grid_simple,regular_ll,-4.67242,-4.44196,9999,-4.27203
1,ecmf,surface,0,20210101,24,fc,2t,grid_simple,regular_ll,277.067,276.649,9999,276.643
1,ecmf,surface,0,20210102,1,fc,10u,grid_simple,regular_ll,3.20544,3.10241,9999,3.09704
1,ecmf,surface,0,20210102,1,fc,10v,grid_simple,regular_ll,-4.146,-3.90576,9999,-3.73486
1,ecmf,surface,0,20210102,1,fc,2t,grid_simple,regular_ll,276.473,276.005,9999,275.942
1,ecmf,surface,0,20210102,2,fc,10u,grid_simple,regular_ll,3.38354,3.24927,9999,3.23999
1,ecmf,surface,0,20210102,2,fc,10v,grid_simple,regular_ll,-3.65102,-3.44398,9999,-3.31801
1,ecmf,surface,0,20210102,2,fc,2t,grid_simple,regular_ll,275.804,275.316,9999,275.246
1,ecmf,surface,0,20210102,3,fc,10u,grid_simple,regular_ll,3.6421,3.45851,9999,3.41652
1,ecmf,surface,0,20210102,3,fc,10v,grid_simple,regular_ll,-3.45538,-3.26984,9999,-3.15363
1,ecmf,surface,0,20210102,3,fc,2t,grid_simple,regular_ll,275.437,274.925,9999,274.888
1,ecmf,surface,0,20210102,4,fc,10u,grid_simple,regular_ll,3.81411,3.61099,9999,3.54458
1,ecmf,surface,0,20210102,4,fc,10v,grid_simple,regular_ll,-3.29124,-3.11351,9999,-2.98216
1,ecmf,surface,0,20210102,4,fc,2t,grid_simple,regular_ll,274.836,274.346,9999,274.336
1,ecmf,surface,0,20210102,5,fc,10u,grid_simple,regular_ll,3.93969,3.71117,9999,3.61645
1,ecmf,surface,0,20210102,5,fc,10v,grid_simple,regular_ll,-3.01064,-2.84413,9999,-2.71962
1,ecmf,surface,0,20210102,5,fc,2t,grid_simple,regular_ll,274.207,273.75,9999,273.735
1,ecmf,surface,0,20210102,6,fc,10u,grid_simple,regular_ll,3.93572,3.69744,9999,3.59686
1,ecmf,surface,0,20210102,6,fc,10v,grid_simple,regular_ll,-2.80813,-2.65384,9999,-2.55227
1,ecmf,surface,0,20210102,6,fc,2t,grid_simple,regular_ll,273.707,273.297,9999,273.305
1,ecmf,surface,0,20210102,7,fc,10u,grid_simple,regular_ll,3.75058,3.51719,9999,3.43418
1,ecmf,surface,0,20210102,7,fc,10v,grid_simple,regular_ll,-2.28447,-2.13994,9999,-2.06279
1,ecmf,surface,0,20210102,7,fc,2t,grid_simple,regular_ll,273.347,272.991,9999,273.015
1,ecmf,surface,0,20210102,8,fc,10u,grid_simple,regular_ll,3.68323,3.44397,9999,3.35999
1,ecmf,surface,0,20210102,8,fc,10v,grid_simple,regular_ll,-1.93717,-1.83756,9999,-1.79557
1,ecmf,surface,0,20210102,8,fc,2t,grid_simple,regular_ll,272.986,272.636,9999,272.681
1,ecmf,surface,0,20210102,9,fc,10u,grid_simple,regular_ll,3.59439,3.34341,9999,3.27408
1,ecmf,surface,0,20210102,9,fc,10v,grid_simple,regular_ll,-1.75544,-1.6739,9999,-1.64802
1,ecmf,surface,0,20210102,9,fc,2t,grid_simple,regular_ll,272.755,272.427,9999,272.52
1,ecmf,surface,0,20210102,10,fc,10u,grid_simple,regular_ll,3.51518,3.24272,9999,3.19389
1,ecmf,surface,0,20210102,10,fc,10v,grid_simple,regular_ll,-1.85968,-1.76154,9999,-1.71418
1,ecmf,surface,0,20210102,10,fc,2t,grid_simple,regular_ll,273.179,272.926,9999,273.033
