dataDate,10u,10v,2t
2020-12-31 00:00:00,3.78519,-1.12544,272.181
2021-01-01 00:00:00,3.19963,-4.67242,277.067
2021-01-01 01:00:00,3.78895,-1.13707,272.434
2021-01-01 02:00:00,3.9113,-1.30803,272.393
2021-01-01 03:00:00,3.62319,-1.89505,273.156
2021-01-01 04:00:00,3.12761,-2.60413,274.105
2021-01-01 05:00:00,2.70663,-3.47212,275.111
2021-01-01 06:00:00,2.30056,-3.77083,276.158
2021-01-01 07:00:00,2.99754,-3.19316,276.172
2021-01-01 08:00:00,2.81483,-3.50381,276.711
2021-01-01 09:00:00,2.73969,-3.47041,276.801
2021-01-01 10:00:00,2.32323,-3.90424,277.816
2021-01-01 11:00:00,1.36722,-4.78723,278.83
2021-01-01 12:00:00,0.800308,-5.22905,279.366
2021-01-01 13:00:00,0.833908,-5.03494,279.24
2021-01-01 14:00:00,0.921585,-4.92337,279.026
2021-01-01 15:00:00,1.20939,-4.86006,278.587
2021-01-01 16:00:00,1.52385,-4.92862,278.146
2021-01-01 17:00:00,1.70978,-4.98799,277.845
2021-01-01 18:00:00,1.88855,-5.20908,277.898
2021-01-01 19:00:00,1.61588,-5.88138,277.983
2021-01-01 20:00:00,1.61386,-5.63347,277.89
2021-01-01 21:00:00,1.98913,-5.29939,277.934
2021-01-01 22:00:00,2.50271,-4.98175,277.672
2021-01-01 23:00:00,3.00705,-4.8645,277.396
2021-01-02 00:00:00,-0.984097,-3.28681,276.152
2021-01-02 01:00:00,3.20544,-4.146,276.473
2021-01-02 02:00:00,3.38354,-3.65102,275.804
2021-01-02 03:00:00,3.6421,-3.45538,275.437
2021-01-02 04:00:00,3.81411,-3.29124,274.836
2021-01-02 05:00:00,3.93969,-3.01064,274.207
2021-01-02 06:00:00,3.93572,-2.80813,273.707
2021-01-02 07:00:00,3.75058,-2.28447,273.347
2021-01-02 08:00:00,3.68323,-1.93717,272.986
2021-01-02 09:00:00,3.59439,-1.75544,272.755
2021-01-02 10:00:00,3.51518,-1.85968,273.179
2021-01-02 11:00:00,3.5607,-2.11064,273.998
2021-01-02 12:00:00,3.51172,-2.39883,274.611
2021-01-02 13:00:00,3.45148,-2.78805,275.08
2021-01-02 14:00:00,3.34097,-2.61268,275.218
2021-01-02 15:00:00,3.04202,-2.13295,274.935
2021-01-02 16:00:00,2.75117,-2.28084,274.774
2021-01-02 17:00:00,1.97884,-2.76498,275.169
2021-01-02 18:00:00,0.922012,-3.37406,275.858
2021-01-02 19:00:00,-1.32248,-4.04701,276.862
2021-01-02 20:00:00,-1.3622,-3.55272,276.955
2021-01-02 21:00:00,-1.16419,-3.2285,276.549
2021-01-02 22:00:00,-1.02586,-3.23512,276.549
