Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;7.0228;2.3051;0.6646;1.6404;19.2219;1.2094;0.0000;1.2094;0.0000;1.0000
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;103.3658;52.2198;31.3102;20.9096;396.0770;34.5847;8.6605;25.9242;119.2876;1.0000
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;196.0161;118.9739;85.4660;33.5078;609.9814;62.4267;7.6590;54.7677;48.5353;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;244.0195;157.2211;119.3181;37.9030;688.0707;115.3179;54.1711;61.1468;310.8092;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;244.1063;156.3383;116.9750;39.3634;674.1653;115.5107;53.4797;62.0310;307.0175;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;196.2727;117.4235;81.4987;35.9249;580.2499;92.5166;46.7852;45.7313;343.6492;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;103.7807;50.8947;28.2125;22.6823;352.0088;43.5244;20.3273;23.1970;230.5870;1.0000
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;7.1892;2.2735;0.5212;1.7523;14.9024;1.0915;0.0000;1.0915;0.0000;1.0000
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;7.6617;2.5765;0.8182;1.7583;23.9412;1.3945;0.0000;1.3945;0.0000;1.0000
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;105.4289;53.5582;32.3758;21.1824;404.2415;37.6103;14.3231;23.2873;174.0081;1.0000
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;198.1494;119.9800;85.4092;34.5708;603.3666;73.0823;10.1500;62.9323;74.8718;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;246.1928;157.6704;117.6837;39.9867;672.6901;107.0914;32.9220;74.1694;185.9907;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;246.2871;158.0495;118.6447;39.4048;677.9924;115.8130;54.2544;61.5585;309.4869;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;198.4279;120.8019;87.3103;33.4915;616.2678;96.1302;53.6022;42.5280;389.0008;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;105.8796;54.4627;34.1185;20.3442;426.4254;45.0615;20.6799;24.3815;237.2042;1.0000
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;7.8596;2.6972;0.9494;1.7479;26.9618;1.4073;0.0000;1.4073;0.0000;1.0000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;8.4140;2.7068;0.6569;2.0500;19.8412;1.5511;0.0000;1.5511;0.0000;1.0000
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;107.6645;53.0436;29.3658;23.6778;356.5453;34.2339;6.7243;27.5096;90.1136;1.0000
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;200.4592;118.5341;79.9310;38.6031;557.8597;62.2768;0.0679;62.2089;0.4130;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;248.5448;155.6732;111.1352;44.5380;629.2197;98.1218;13.6645;84.4573;76.6055;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;248.6466;156.2750;112.9937;43.2813;639.6145;98.3154;15.8933;82.4221;88.7063;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;200.7601;119.7233;83.6280;36.0953;583.4573;61.7643;0.0021;61.7622;0.0130;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;108.1517;54.4085;32.8166;21.5919;401.4396;24.8096;0.7451;24.0644;13.9219;1.0000
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;8.6137;2.8812;0.9351;1.9461;27.0387;1.5484;0.0000;1.5484;0.0000;1.0000
2021-01-03T16:00:00.0/2021-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T17:00:00.0/2021-01-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T18:00:00.0/2021-01-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T19:00:00.0/2021-01-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T20:00:00.0/2021-01-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T21:00:00.0/2021-01-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T22:00:00.0/2021-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T23:00:00.0/2021-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T00:00:00.0/2021-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T01:00:00.0/2021-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T02:00:00.0/2021-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T03:00:00.0/2021-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T04:00:00.0/2021-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T05:00:00.0/2021-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
