edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,1.56204,1.52835,1.57083,1.54105
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,-3.71138,-3.65474,-3.96724,-3.91939
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,274.07,273.904,273.045,272.982
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,1.55458,1.52675,1.55067,1.52528
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,-3.75426,-3.68492,-4.02281,-3.96129
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,274.024,273.854,273.116,273.032
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,1.55387,1.53337,1.55436,1.5363
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,-3.76115,-3.70061,-4.07561,-4.01994
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,274.007,273.846,273.091,273.02
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,1.50942,1.49526,1.5021,1.48794
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,-3.73489,-3.67532,-4.07962,-4.02396
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,274.029,273.873,273.109,273.043
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,1.45769,1.44353,1.41814,1.40349
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,-3.53772,-3.46252,-3.87854,-3.80823
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,273.906,273.768,272.943,272.891
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,1.483,1.47763,1.44198,1.4371
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,-3.33443,-3.26314,-3.72603,-3.65962
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,273.874,273.741,272.964,272.919
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,1.59108,1.5862,1.53102,1.52907
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,-3.28352,-3.2386,-3.69661,-3.65364
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,273.93,273.781,273.041,272.981
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,1.48386,1.478,1.44773,1.44285
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,-3.51543,-3.47539,-3.87871,-3.8416
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,274.279,274.139,273.293,273.246
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,1.53456,1.51015,1.49452,1.47108
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,-3.4921,-3.4335,-3.8378,-3.78506
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,274.241,274.071,273.211,273.139
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,1.6098,1.57269,1.55511,1.51996
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,-3.3669,-3.27998,-3.66573,-3.58565
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,273.947,273.777,272.933,272.859
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,1.62498,1.58788,1.58006,1.54393
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,-3.27826,-3.18256,-3.53412,-3.4433
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,273.912,273.707,272.84,272.744
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,1.66898,1.63089,1.65042,1.60843
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,-3.33899,-3.24231,-3.52063,-3.422
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,274.125,273.867,272.908,272.798
