Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;7.0849;2.1411;0.3977;1.7434;11.9979;1.1122;0.0000;1.1122;0.0000;1.0000
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;103.6018;49.3110;26.1229;23.1882;325.0755;42.4237;18.7987;23.6250;212.5526;1.0000
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;196.2813;113.8969;75.8919;38.0049;540.3899;94.8043;54.3415;40.4628;384.8312;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;244.2998;151.2844;107.8235;43.4609;621.0097;134.1200;98.6727;35.4473;568.0288;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;244.3866;151.3110;108.0154;43.2956;621.9310;136.0731;102.0748;33.9983;587.7712;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;196.5377;114.2458;76.8131;37.4327;546.4801;102.0878;70.7420;31.3458;502.1702;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;104.0165;49.8450;27.1673;22.6777;338.7413;42.5762;19.1525;23.4237;216.2749;1.0000
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;7.2581;2.2320;0.4842;1.7478;14.0067;1.0773;0.0000;1.0773;0.0000;1.0000
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;7.7439;2.4752;0.6866;1.7886;20.1665;1.3230;0.0000;1.3230;0.0000;1.0000
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;105.6648;51.5185;29.4674;22.0511;365.6269;36.7063;12.9530;23.7533;155.5813;1.0000
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;198.4148;115.9302;79.0826;36.8475;557.8049;95.2884;63.6702;31.6182;439.2419;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;246.4736;152.5288;109.0083;43.5205;622.4100;138.3146;103.9406;34.3740;593.4148;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;246.5678;153.0016;110.2375;42.7641;629.2520;138.6507;104.8607;33.7900;598.4977;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;198.6934;116.8095;80.9950;35.8145;570.7680;104.4779;74.7303;29.7476;525.5798;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;106.1156;52.3769;30.9707;21.4062;384.2199;44.8395;22.6132;22.2263;257.0392;1.0000
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;7.9290;2.5750;0.7654;1.8096;21.9813;1.3431;0.0000;1.3431;0.0000;1.0000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;8.4830;2.5605;0.4222;2.1383;12.9801;1.4559;0.0000;1.4559;0.0000;1.0000
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;107.8995;50.6783;25.3421;25.3362;303.6236;41.1582;14.3027;26.8554;162.5969;1.0000
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;200.7233;114.3548;72.4444;41.9104;504.5900;84.0802;32.6575;51.4227;230.5860;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;248.8241;150.5368;101.6314;48.9054;574.7751;49.3575;1.9965;47.3610;11.9428;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;248.9258;150.5810;101.4933;49.0877;573.7248;76.3152;5.3145;71.0007;30.2323;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;201.0242;114.1699;71.6425;42.5274;498.0476;40.9067;0.2517;40.6550;2.1554;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;108.3864;50.4724;24.5112;25.9613;291.0317;39.0198;10.4488;28.5709;120.5659;1.0000
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;8.6896;2.5931;0.3633;2.2298;10.8162;1.3967;0.0000;1.3967;0.0000;1.0000
2021-01-03T16:00:00.0/2021-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T17:00:00.0/2021-01-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T18:00:00.0/2021-01-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T19:00:00.0/2021-01-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T20:00:00.0/2021-01-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T21:00:00.0/2021-01-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T22:00:00.0/2021-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T23:00:00.0/2021-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T00:00:00.0/2021-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T01:00:00.0/2021-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T02:00:00.0/2021-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T03:00:00.0/2021-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T04:00:00.0/2021-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T05:00:00.0/2021-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
