edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,9999,9999,2.52884,2.4136
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,9999,9999,-6.73775,-6.22798
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,9999,9999,277.414,277.052
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,9999,9999,2.5746,2.45057
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,9999,9999,-6.87242,-6.36949
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,9999,9999,277.411,277.048
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,9999,9999,2.37468,2.27995
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,9999,9999,-7.03362,-6.50725
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,9999,9999,277.446,277.075
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,9999,9999,2.19741,2.1271
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,9999,9999,-6.97415,-6.4429
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,9999,9999,277.449,277.076
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,9999,9999,2.25017,2.17498
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,9999,9999,-6.76233,-6.24573
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,9999,9999,277.285,276.9
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,9999,9999,2.36581,2.26132
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,9999,9999,-6.66353,-6.15962
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,9999,9999,277.095,276.716
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,9999,9999,2.2986,2.19851
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,9999,9999,-6.71223,-6.1927
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,9999,9999,277.121,276.764
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,9999,9999,2.25242,2.1655
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,9999,9999,-6.90117,-6.36601
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,9999,9999,277.117,276.783
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,9999,9999,2.42323,2.32851
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,9999,9999,-6.71671,-6.20206
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,9999,9999,276.967,276.633
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,9999,9999,2.53363,2.43304
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,9999,9999,-6.59346,-6.09932
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,9999,9999,276.822,276.482
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,9999,9999,2.46288,2.37303
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,9999,9999,-6.57513,-6.07806
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,9999,9999,276.881,276.566
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,9999,9999,2.36526,2.29495
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,9999,9999,-6.49231,-6.00696
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,9999,9999,277.14,276.855
1,ecmf,surface,0,20210101,12,fc,10u,grid_simple,regular_ll,9999,9999,2.4673,2.3882
1,ecmf,surface,0,20210101,12,fc,10v,grid_simple,regular_ll,9999,9999,-6.50346,-5.99956
1,ecmf,surface,0,20210101,12,fc,2t,grid_simple,regular_ll,9999,9999,277.374,277.11
1,ecmf,surface,0,20210101,13,fc,10u,grid_simple,regular_ll,9999,9999,2.58098,2.49211
1,ecmf,surface,0,20210101,13,fc,10v,grid_simple,regular_ll,9999,9999,-6.45096,-5.94217
1,ecmf,surface,0,20210101,13,fc,2t,grid_simple,regular_ll,9999,9999,277.416,277.156
1,ecmf,surface,0,20210101,14,fc,10u,grid_simple,regular_ll,9999,9999,2.84053,2.72139
1,ecmf,surface,0,20210101,14,fc,10v,grid_simple,regular_ll,9999,9999,-6.25247,-5.79739
1,ecmf,surface,0,20210101,14,fc,2t,grid_simple,regular_ll,9999,9999,277.188,276.912
1,ecmf,surface,0,20210101,15,fc,10u,grid_simple,regular_ll,9999,9999,2.81681,2.68888
1,ecmf,surface,0,20210101,15,fc,10v,grid_simple,regular_ll,9999,9999,-6.03096,-5.57686
1,ecmf,surface,0,20210101,15,fc,2t,grid_simple,regular_ll,9999,9999,276.911,276.616
1,ecmf,surface,0,20210101,16,fc,10u,grid_simple,regular_ll,9999,9999,2.76701,2.65276
1,ecmf,surface,0,20210101,16,fc,10v,grid_simple,regular_ll,9999,9999,-5.78409,-5.32901
1,ecmf,surface,0,20210101,16,fc,2t,grid_simple,regular_ll,9999,9999,276.53,276.19
1,ecmf,surface,0,20210101,17,fc,10u,grid_simple,regular_ll,9999,9999,2.75275,2.6463
