dataDate,10u,10v,2t
2020-12-31 00:00:00,2.52884,-6.73775,277.414
2021-01-01 00:00:00,3.04777,-3.56305,274.563
2021-01-01 01:00:00,2.5746,-6.87242,277.411
2021-01-01 02:00:00,2.37468,-7.03362,277.446
2021-01-01 03:00:00,2.19741,-6.97415,277.449
2021-01-01 04:00:00,2.25017,-6.76233,277.285
2021-01-01 05:00:00,2.36581,-6.66353,277.095
2021-01-01 06:00:00,2.2986,-6.71223,277.121
2021-01-01 07:00:00,2.25242,-6.90117,277.117
2021-01-01 08:00:00,2.42323,-6.71671,276.967
2021-01-01 09:00:00,2.53363,-6.59346,276.822
2021-01-01 10:00:00,2.46288,-6.57513,276.881
2021-01-01 11:00:00,2.36526,-6.49231,277.14
2021-01-01 12:00:00,2.4673,-6.50346,277.374
2021-01-01 13:00:00,2.58098,-6.45096,277.416
2021-01-01 14:00:00,2.84053,-6.25247,277.188
2021-01-01 15:00:00,2.81681,-6.03096,276.911
2021-01-01 16:00:00,2.76701,-5.78409,276.53
2021-01-01 17:00:00,2.75275,-5.50069,276.267
2021-01-01 18:00:00,2.84754,-5.22372,275.97
2021-01-01 19:00:00,3.36295,-5.00931,275.465
2021-01-01 20:00:00,3.39218,-4.75359,275.187
2021-01-01 21:00:00,3.44616,-4.56111,274.944
2021-01-01 22:00:00,3.39187,-4.18488,274.756
2021-01-01 23:00:00,3.12961,-3.75903,274.666
2021-01-02 00:00:00,2.12821,-6.78632,276.348
2021-01-02 01:00:00,3.03747,-3.55713,274.483
2021-01-02 02:00:00,3.03247,-3.77016,274.396
2021-01-02 03:00:00,2.86281,-4.18878,274.397
2021-01-02 04:00:00,2.63052,-4.614,274.391
2021-01-02 05:00:00,2.53637,-4.89687,274.455
2021-01-02 06:00:00,2.57147,-5.27444,274.508
2021-01-02 07:00:00,2.17734,-5.6419,274.816
2021-01-02 08:00:00,2.18811,-5.96305,274.913
2021-01-02 09:00:00,2.31998,-6.14216,274.925
2021-01-02 10:00:00,2.52592,-5.96027,275.179
2021-01-02 11:00:00,2.51871,-6.01835,275.724
2021-01-02 12:00:00,2.36816,-6.17813,276.131
2021-01-02 13:00:00,2.31769,-6.40621,276.558
2021-01-02 14:00:00,1.72964,-6.55066,277.015
2021-01-02 15:00:00,1.4639,-6.62123,276.892
2021-01-02 16:00:00,1.47188,-6.53084,276.67
2021-01-02 17:00:00,1.55403,-6.30843,276.56
2021-01-02 18:00:00,1.61147,-6.37651,276.417
2021-01-02 19:00:00,1.20975,-6.68178,276.381
2021-01-02 20:00:00,1.09386,-6.96825,276.402
2021-01-02 21:00:00,1.23815,-6.96483,276.531
2021-01-02 22:00:00,1.61965,-6.8733,276.646
2021-01-02 23:00:00,1.99759,-6.8997,276.584
2021-01-03 00:00:00,-4.11932,-3.06609,276.911
