edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,9999,9999,-1.1152,-1.1694
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,9999,9999,-2.12544,-2.05415
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,9999,9999,272.951,272.922
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,9999,9999,-0.942492,-0.995714
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,9999,9999,-2.25328,-2.19078
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,9999,9999,272.589,272.548
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,9999,9999,-0.803547,-0.857258
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,9999,9999,-2.37834,-2.32268
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,9999,9999,272.387,272.358
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,9999,9999,-0.636576,-0.704447
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,9999,9999,-2.54642,-2.48196
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,9999,9999,271.949,271.982
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,9999,9999,-0.482249,-0.563304
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,9999,9999,-2.48596,-2.40686
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,9999,9999,272.135,272.176
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,9999,9999,-0.387119,-0.4921
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,9999,9999,-2.42427,-2.35982
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,9999,9999,271.822,271.909
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,9999,9999,-0.197979,-0.299541
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,9999,9999,-2.26204,-2.19954
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,9999,9999,271.569,271.694
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,9999,9999,-0.0708237,-0.122581
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,9999,9999,-2.35039,-2.283
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,9999,9999,271.98,272.072
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,9999,9999,-0.0132904,-0.085556
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,9999,9999,-2.31534,-2.24405
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,9999,9999,271.92,271.985
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,9999,9999,0.0267944,-0.0796509
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,9999,9999,-2.23799,-2.16084
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,9999,9999,272.297,272.332
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,9999,9999,-0.0927887,-0.180679
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,9999,9999,-2.09271,-2.0097
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,9999,9999,273.476,273.674
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,9999,9999,-0.329071,-0.415009
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,9999,9999,-2.36633,-2.28918
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,9999,9999,274.789,275.062
1,ecmf,surface,0,20210101,12,fc,10u,grid_simple,regular_ll,9999,9999,-0.58934,-0.669418
1,ecmf,surface,0,20210101,12,fc,10v,grid_simple,regular_ll,9999,9999,-2.7144,-2.65776
1,ecmf,surface,0,20210101,12,fc,2t,grid_simple,regular_ll,9999,9999,275.745,276.009
1,ecmf,surface,0,20210101,13,fc,10u,grid_simple,regular_ll,9999,9999,-0.687576,-0.752029
1,ecmf,surface,0,20210101,13,fc,10v,grid_simple,regular_ll,9999,9999,-2.93729,-2.90115
1,ecmf,surface,0,20210101,13,fc,2t,grid_simple,regular_ll,9999,9999,276.399,276.645
1,ecmf,surface,0,20210101,14,fc,10u,grid_simple,regular_ll,9999,9999,-0.777634,-0.805954
1,ecmf,surface,0,20210101,14,fc,10v,grid_simple,regular_ll,9999,9999,-3.60696,-3.5347
1,ecmf,surface,0,20210101,14,fc,2t,grid_simple,regular_ll,9999,9999,276.879,277.108
1,ecmf,surface,0,20210101,15,fc,10u,grid_simple,regular_ll,9999,9999,-0.567951,-0.600178
1,ecmf,surface,0,20210101,15,fc,10v,grid_simple,regular_ll,9999,9999,-3.21748,-3.12959
1,ecmf,surface,0,20210101,15,fc,2t,grid_simple,regular_ll,9999,9999,277.018,277.227
1,ecmf,surface,0,20210101,16,fc,10u,grid_simple,regular_ll,9999,9999,-0.466385,-0.533768
1,ecmf,surface,0,20210101,16,fc,10v,grid_simple,regular_ll,9999,9999,-3.28214,-3.15909
1,ecmf,surface,0,20210101,16,fc,2t,grid_simple,regular_ll,9999,9999,276.974,277.14
1,ecmf,surface,0,20210101,17,fc,10u,grid_simple,regular_ll,9999,9999,-0.500183,-0.580261
1,ecmf,surface,0,20210101,17,fc,10v,grid_simple,regular_ll,9999,9999,-3.36299,-3.21553
1,ecmf,surface,0,20210101,17,fc,2t,grid_simple,regular_ll,9999,9999,276.908,277.023
1,ecmf,surface,0,20210101,18,fc,10u,grid_simple,regular_ll,9999,9999,-0.454222,-0.523558
1,ecmf,surface,0,20210101,18,fc,10v,grid_simple,regular_ll,9999,9999,-3.32236,-3.16415
1,ecmf,surface,0,20210101,18,fc,2t,grid_simple,regular_ll,9999,9999,276.927,276.98
1,ecmf,surface,0,20210101,19,fc,10u,grid_simple,regular_ll,9999,9999,-0.749355,-0.812832
1,ecmf,surface,0,20210101,19,fc,10v,grid_simple,regular_ll,9999,9999,-3.35599,-3.19485
1,ecmf,surface,0,20210101,19,fc,2t,grid_simple,regular_ll,9999,9999,276.903,276.92
1,ecmf,surface,0,20210101,20,fc,10u,grid_simple,regular_ll,9999,9999,-0.687902,-0.750402
1,ecmf,surface,0,20210101,20,fc,10v,grid_simple,regular_ll,9999,9999,-3.30046,-3.1237
1,ecmf,surface,0,20210101,20,fc,2t,grid_simple,regular_ll,9999,9999,276.732,276.756
1,ecmf,surface,0,20210101,21,fc,10u,grid_simple,regular_ll,9999,9999,-0.645636,-0.691534
1,ecmf,surface,0,20210101,21,fc,10v,grid_simple,regular_ll,9999,9999,-3.35701,-3.1949
1,ecmf,surface,0,20210101,21,fc,2t,grid_simple,regular_ll,9999,9999,276.298,276.288
1,ecmf,surface,0,20210101,22,fc,10u,grid_simple,regular_ll,9999,9999,-0.669654,-0.683814
1,ecmf,surface,0,20210101,22,fc,10v,grid_simple,regular_ll,9999,9999,-3.43195,-3.25616
