dataDate,10u,10v,2t
2020-12-31 00:00:00,-1.1152,-2.12544,272.951
2021-01-01 00:00:00,-0.205156,-3.62262,275.711
2021-01-01 01:00:00,-0.942492,-2.25328,272.589
2021-01-01 02:00:00,-0.803547,-2.37834,272.387
2021-01-01 03:00:00,-0.636576,-2.54642,271.949
2021-01-01 04:00:00,-0.482249,-2.48596,272.135
2021-01-01 05:00:00,-0.387119,-2.42427,271.822
2021-01-01 06:00:00,-0.197979,-2.26204,271.569
2021-01-01 07:00:00,-0.0708237,-2.35039,271.98
2021-01-01 08:00:00,-0.0132904,-2.31534,271.92
2021-01-01 09:00:00,0.0267944,-2.23799,272.297
2021-01-01 10:00:00,-0.0927887,-2.09271,273.476
2021-01-01 11:00:00,-0.329071,-2.36633,274.789
2021-01-01 12:00:00,-0.58934,-2.7144,275.745
2021-01-01 13:00:00,-0.687576,-2.93729,276.399
2021-01-01 14:00:00,-0.777634,-3.60696,276.879
2021-01-01 15:00:00,-0.567951,-3.21748,277.018
2021-01-01 16:00:00,-0.466385,-3.28214,276.974
2021-01-01 17:00:00,-0.500183,-3.36299,276.908
2021-01-01 18:00:00,-0.454222,-3.32236,276.927
2021-01-01 19:00:00,-0.749355,-3.35599,276.903
2021-01-01 20:00:00,-0.687902,-3.30046,276.732
2021-01-01 21:00:00,-0.645636,-3.35701,276.298
2021-01-01 22:00:00,-0.669654,-3.43195,276.183
2021-01-01 23:00:00,-0.446075,-3.48169,276.133
2021-01-02 00:00:00,-1.52218,-5.01484,273.584
2021-01-02 01:00:00,-0.131474,-3.81396,275.372
2021-01-02 02:00:00,-0.246826,-3.88148,275.205
2021-01-02 03:00:00,-0.388169,-3.69757,274.968
2021-01-02 04:00:00,-0.21616,-3.55443,274.719
2021-01-02 05:00:00,0.114494,-3.53993,274.545
2021-01-02 06:00:00,0.2492,-3.5469,274.438
2021-01-02 07:00:00,0.114841,-3.77324,274.388
2021-01-02 08:00:00,0.0377197,-3.66862,274.398
2021-01-02 09:00:00,0.0836487,-3.43415,274.428
2021-01-02 10:00:00,0.294479,-3.06134,275.304
2021-01-02 11:00:00,0.668121,-2.92998,276.562
2021-01-02 12:00:00,1.17188,-2.86074,277.388
2021-01-02 13:00:00,1.82159,-2.70943,277.892
2021-01-02 14:00:00,2.44644,-2.77869,278.066
2021-01-02 15:00:00,2.60355,-2.97328,277.695
2021-01-02 16:00:00,2.04024,-3.5699,277.323
2021-01-02 17:00:00,1.25813,-3.93441,276.685
2021-01-02 18:00:00,0.899551,-4.13432,276.354
2021-01-02 19:00:00,0.517365,-4.67494,275.879
2021-01-02 20:00:00,-0.00379944,-4.61962,275.377
2021-01-02 21:00:00,-0.41419,-4.72118,274.779
2021-01-02 22:00:00,-0.895002,-4.85279,274.199
2021-01-02 23:00:00,-1.25534,-4.93192,273.795
2021-01-03 00:00:00,-4.17401,-4.18865,275.427
2021-01-03 01:00:00,-1.7242,-4.99347,273.505
2021-01-03 02:00:00,-1.74063,-4.95925,273.457
2021-01-03 03:00:00,-1.81037,-5.10233,273.824
2021-01-03 04:00:00,-1.83577,-5.05308,274.162
2021-01-03 05:00:00,-1.88459,-5.03091,274.4
2021-01-03 06:00:00,-2.04128,-4.98017,274.571
2021-01-03 07:00:00,-2.27008,-5.15073,274.801
2021-01-03 08:00:00,-2.52879,-5.15014,275.114
2021-01-03 09:00:00,-2.87625,-4.91397,275.291
2021-01-03 10:00:00,-3.51978,-5.26078,275.85
2021-01-03 11:00:00,-4.10519,-5.1653,276.499
2021-01-03 12:00:00,-4.13647,-5.03003,276.998
2021-01-03 13:00:00,-3.92963,-4.93535,277.404
2021-01-03 14:00:00,-3.45833,-4.88062,277.466
2021-01-03 15:00:00,-3.33356,-4.97074,277.318
2021-01-03 16:00:00,-2.99533,-4.97194,276.847
2021-01-03 17:00:00,-3.10922,-5.01756,276.378
2021-01-03 18:00:00,-3.45337,-4.962,276.432
2021-01-03 19:00:00,-3.93723,-4.91267,276.307
2021-01-03 20:00:00,-4.22502,-4.73713,276.182
2021-01-03 21:00:00,-4.45602,-4.52417,276.271
2021-01-03 22:00:00,-4.36012,-4.19559,276.046
2021-01-03 23:00:00,-4.16307,-4.0688,275.779
2021-01-04 00:00:00,-4.73776,-5.57753,275.611
2021-01-04 01:00:00,-4.24583,-4.41313,275.316
2021-01-04 02:00:00,-4.27794,-4.75141,275.234
2021-01-04 03:00:00,-4.20499,-5.04354,275.252
2021-01-04 04:00:00,-4.34599,-5.18581,275.339
2021-01-04 05:00:00,-4.25304,-5.19671,275.29
2021-01-04 06:00:00,-4.00378,-5.26743,275.178
2021-01-04 07:00:00,-4.22009,-5.32566,275.247
2021-01-04 08:00:00,-4.03233,-5.47285,275.062
2021-01-04 09:00:00,-3.73425,-5.63892,275.032
2021-01-04 10:00:00,-2.9561,-5.35277,275.489
2021-01-04 11:00:00,-4.92702,-7.13487,276.543
2021-01-04 12:00:00,-5.21445,-6.98325,277.223
2021-01-04 13:00:00,-5.20175,-6.92635,277.614
2021-01-04 14:00:00,-5.4035,-6.91388,277.906
2021-01-04 15:00:00,-4.40923,-6.24635,277.912
2021-01-04 16:00:00,-4.60114,-6.05417,277.812
2021-01-04 17:00:00,-4.6006,-5.78471,277.499
2021-01-04 18:00:00,-4.57095,-5.8302,277.188
2021-01-04 19:00:00,-4.95544,-5.91751,277.001
2021-01-04 20:00:00,-5.01353,-5.92091,276.777
2021-01-04 21:00:00,-5.01556,-5.85345,276.445
2021-01-04 22:00:00,-4.85959,-5.77446,276.182
2021-01-04 23:00:00,-4.79018,-5.6958,275.894
2021-01-05 00:00:00,-3.59911,-5.58485,275.224
2021-01-05 01:00:00,-4.71843,-5.38663,275.286
2021-01-05 02:00:00,-4.6949,-5.18593,275.051
2021-01-05 03:00:00,-4.62125,-5.08989,274.879
2021-01-05 04:00:00,-4.31924,-5.11188,274.813
2021-01-05 05:00:00,-3.88914,-5.20027,274.731
2021-01-05 06:00:00,-3.48637,-5.29063,274.625
2021-01-05 07:00:00,-3.64107,-5.40631,274.753
2021-01-05 08:00:00,-3.42062,-5.4183,274.688
2021-01-05 09:00:00,-3.26846,-5.54773,274.643
2021-01-05 10:00:00,-2.86177,-5.29313,274.987
2021-01-05 11:00:00,-4.67172,-6.37157,275.689
2021-01-05 12:00:00,-4.82188,-6.09707,276.447
2021-01-05 13:00:00,-4.37988,-5.95153,276.815
2021-01-05 14:00:00,-4.45326,-6.03963,277.084
2021-01-05 15:00:00,-3.92799,-6.06283,277.069
2021-01-05 16:00:00,-3.06879,-5.66792,276.713
2021-01-05 17:00:00,-3.09019,-5.5707,276.181
