Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;71.9081;32.4148;16.9065;15.5083;225.5746;23.3465;4.5021;18.8444;57.8321;1.0000
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;221.9874;131.1691;90.7431;40.4260;566.0265;76.3236;1.2870;75.0366;11.0071;1.0000
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;328.6523;214.6647;162.3081;52.3566;693.6542;129.3285;5.8930;123.4355;24.5762;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;383.9094;259.3123;201.7462;57.5661;739.6902;137.6970;2.6152;135.0818;9.7202;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;383.9940;259.4674;203.2276;56.2398;745.0090;104.5778;0.0000;104.5778;0.0000;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;328.9017;215.0357;165.9355;49.1001;708.9118;85.0741;0.0000;85.0741;0.0000;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;222.3886;132.2011;95.6225;36.5786;596.8079;83.6277;5.9352;77.6925;45.5206;1.0000
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;72.3808;32.9618;18.6138;14.3480;248.4534;25.2216;7.4275;17.7941;90.4992;1.0000
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;73.6405;33.5181;18.2606;15.2575;242.5922;19.7426;2.7134;17.0292;39.1215;1.0000
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;223.9827;133.0825;94.7439;38.3386;586.0695;41.3836;0.1076;41.2761;0.9497;1.0000
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;330.7266;217.5382;168.7909;48.7473;716.8162;120.6675;15.1929;105.4746;61.9207;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;386.0285;263.7127;210.7359;52.9768;768.3926;178.9790;73.4202;105.5589;265.0973;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;386.1205;263.8371;210.1721;53.6650;766.1392;211.2913;123.6787;87.6126;450.4255;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;330.9978;218.0218;167.6727;50.3491;711.3899;164.3638;75.1935;89.1703;316.5210;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;224.4190;133.3645;93.0614;40.3031;573.9060;82.9306;10.3079;72.6227;54.8001;1.0000
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;74.1878;33.4324;17.2733;16.1591;225.8687;21.0010;0.0000;21.0010;0.0000;1.0000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;75.5555;33.7334;17.0840;16.6494;221.3278;21.5049;2.6660;18.8388;36.1564;1.0000
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;226.1472;133.1200;91.5905;41.5295;560.5770;51.4494;0.0228;51.4267;0.2012;1.0000
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;332.9754;217.0259;164.7349;52.2910;694.7951;82.4889;0.0000;82.4889;0.0000;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;388.3246;262.1408;206.0208;56.1201;746.7657;89.6791;0.0000;89.6791;0.0000;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;388.4239;261.1779;203.3336;57.8443;736.7436;119.8687;8.0564;111.8123;30.1410;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;333.2683;214.6601;159.0952;55.5649;670.0519;154.4147;54.0676;100.3471;224.8834;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;226.6186;130.1710;85.3401;44.8309;519.8979;74.8905;5.5336;69.3569;42.6854;1.0000
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;76.1338;32.8703;15.3407;17.5295;196.8736;25.9257;7.0637;18.8620;80.4796;1.0000
2021-01-03T16:00:00.0/2021-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T17:00:00.0/2021-01-03T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T18:00:00.0/2021-01-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T19:00:00.0/2021-01-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T20:00:00.0/2021-01-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T21:00:00.0/2021-01-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T22:00:00.0/2021-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T23:00:00.0/2021-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T00:00:00.0/2021-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T01:00:00.0/2021-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T02:00:00.0/2021-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T03:00:00.0/2021-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T04:00:00.0/2021-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T05:00:00.0/2021-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
