edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,9999,9999,-0.362763,-0.381318
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,9999,9999,-2.55122,-2.42915
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,9999,9999,273.474,273.402
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,9999,9999,0.0892467,0.0638561
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,9999,9999,-2.64879,-2.52184
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,9999,9999,273.036,272.958
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,9999,9999,0.361004,0.344891
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,9999,9999,-2.79338,-2.65764
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,9999,9999,273.134,273.077
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,9999,9999,0.523092,0.512838
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,9999,9999,-3.02689,-2.87454
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,9999,9999,272.99,272.959
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,9999,9999,0.641774,0.61443
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,9999,9999,-2.89026,-2.73401
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,9999,9999,272.869,272.844
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,9999,9999,0.795986,0.768154
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,9999,9999,-2.73384,-2.59908
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,9999,9999,272.564,272.532
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,9999,9999,0.930439,0.882587
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,9999,9999,-2.62532,-2.49739
1,ecmf,surface,0,20210101,6,fc,2t,grid_simple,regular_ll,9999,9999,272.489,272.494
1,ecmf,surface,0,20210101,7,fc,10u,grid_simple,regular_ll,9999,9999,1.13523,1.06297
1,ecmf,surface,0,20210101,7,fc,10v,grid_simple,regular_ll,9999,9999,-2.57109,-2.47246
1,ecmf,surface,0,20210101,7,fc,2t,grid_simple,regular_ll,9999,9999,272.668,272.662
1,ecmf,surface,0,20210101,8,fc,10u,grid_simple,regular_ll,9999,9999,1.22694,1.14784
1,ecmf,surface,0,20210101,8,fc,10v,grid_simple,regular_ll,9999,9999,-2.54678,-2.45108
1,ecmf,surface,0,20210101,8,fc,2t,grid_simple,regular_ll,9999,9999,272.374,272.364
1,ecmf,surface,0,20210101,9,fc,10u,grid_simple,regular_ll,9999,9999,1.20746,1.14398
1,ecmf,surface,0,20210101,9,fc,10v,grid_simple,regular_ll,9999,9999,-2.321,-2.2292
1,ecmf,surface,0,20210101,9,fc,2t,grid_simple,regular_ll,9999,9999,272.451,272.47
1,ecmf,surface,0,20210101,10,fc,10u,grid_simple,regular_ll,9999,9999,1.20116,1.15038
1,ecmf,surface,0,20210101,10,fc,10v,grid_simple,regular_ll,9999,9999,-2.13568,-2.08392
1,ecmf,surface,0,20210101,10,fc,2t,grid_simple,regular_ll,9999,9999,273.388,273.41
1,ecmf,surface,0,20210101,11,fc,10u,grid_simple,regular_ll,9999,9999,1.42972,1.34573
1,ecmf,surface,0,20210101,11,fc,10v,grid_simple,regular_ll,9999,9999,-2.77551,-2.82336
1,ecmf,surface,0,20210101,11,fc,2t,grid_simple,regular_ll,9999,9999,274.382,274.435
1,ecmf,surface,0,20210101,12,fc,10u,grid_simple,regular_ll,9999,9999,1.44582,1.34328
1,ecmf,surface,0,20210101,12,fc,10v,grid_simple,regular_ll,9999,9999,-2.74077,-2.78081
1,ecmf,surface,0,20210101,12,fc,2t,grid_simple,regular_ll,9999,9999,275.19,275.239
1,ecmf,surface,0,20210101,13,fc,10u,grid_simple,regular_ll,9999,9999,1.52629,1.44328
1,ecmf,surface,0,20210101,13,fc,10v,grid_simple,regular_ll,9999,9999,-2.7742,-2.77713
1,ecmf,surface,0,20210101,13,fc,2t,grid_simple,regular_ll,9999,9999,275.656,275.649
1,ecmf,surface,0,20210101,14,fc,10u,grid_simple,regular_ll,9999,9999,1.60616,1.48213
1,ecmf,surface,0,20210101,14,fc,10v,grid_simple,regular_ll,9999,9999,-2.9263,-2.81497
1,ecmf,surface,0,20210101,14,fc,2t,grid_simple,regular_ll,9999,9999,275.926,275.893
1,ecmf,surface,0,20210101,15,fc,10u,grid_simple,regular_ll,9999,9999,1.5717,1.47013
1,ecmf,surface,0,20210101,15,fc,10v,grid_simple,regular_ll,9999,9999,-2.66182,-2.59541
1,ecmf,surface,0,20210101,15,fc,2t,grid_simple,regular_ll,9999,9999,275.798,275.751
1,ecmf,surface,0,20210101,16,fc,10u,grid_simple,regular_ll,9999,9999,1.4799,1.39006
1,ecmf,surface,0,20210101,16,fc,10v,grid_simple,regular_ll,9999,9999,-2.77725,-2.70108
1,ecmf,surface,0,20210101,16,fc,2t,grid_simple,regular_ll,9999,9999,275.716,275.647
1,ecmf,surface,0,20210101,17,fc,10u,grid_simple,regular_ll,9999,9999,1.45392,1.36115
1,ecmf,surface,0,20210101,17,fc,10v,grid_simple,regular_ll,9999,9999,-2.98116,-2.9001
1,ecmf,surface,0,20210101,17,fc,2t,grid_simple,regular_ll,9999,9999,275.72,275.66
1,ecmf,surface,0,20210101,18,fc,10u,grid_simple,regular_ll,9999,9999,1.34363,1.25476
1,ecmf,surface,0,20210101,18,fc,10v,grid_simple,regular_ll,9999,9999,-3.16415,-3.09775
1,ecmf,surface,0,20210101,18,fc,2t,grid_simple,regular_ll,9999,9999,275.964,275.911
1,ecmf,surface,0,20210101,19,fc,10u,grid_simple,regular_ll,9999,9999,1.06021,0.985996
1,ecmf,surface,0,20210101,19,fc,10v,grid_simple,regular_ll,9999,9999,-2.81302,-2.83157
1,ecmf,surface,0,20210101,19,fc,2t,grid_simple,regular_ll,9999,9999,275.633,275.658
1,ecmf,surface,0,20210101,20,fc,10u,grid_simple,regular_ll,9999,9999,0.912683,0.842371
1,ecmf,surface,0,20210101,20,fc,10v,grid_simple,regular_ll,9999,9999,-3.02898,-3.08366
1,ecmf,surface,0,20210101,20,fc,2t,grid_simple,regular_ll,9999,9999,276.004,276.031
1,ecmf,surface,0,20210101,21,fc,10u,grid_simple,regular_ll,9999,9999,0.784052,0.712763
1,ecmf,surface,0,20210101,21,fc,10v,grid_simple,regular_ll,9999,9999,-3.3531,-3.36873
1,ecmf,surface,0,20210101,21,fc,2t,grid_simple,regular_ll,9999,9999,276.356,276.35
1,ecmf,surface,0,20210101,22,fc,10u,grid_simple,regular_ll,9999,9999,0.620873,0.573022
1,ecmf,surface,0,20210101,22,fc,10v,grid_simple,regular_ll,9999,9999,-3.73468,-3.67706
1,ecmf,surface,0,20210101,22,fc,2t,grid_simple,regular_ll,9999,9999,276.629,276.59
1,ecmf,surface,0,20210101,23,fc,10u,grid_simple,regular_ll,9999,9999,0.471893,0.455292
1,ecmf,surface,0,20210101,23,fc,10v,grid_simple,regular_ll,9999,9999,-4.05591,-3.95142
1,ecmf,surface,0,20210101,23,fc,2t,grid_simple,regular_ll,9999,9999,276.711,276.646
1,ecmf,surface,0,20210101,24,fc,10u,grid_simple,regular_ll,9999,9999,0.386152,0.424238
1,ecmf,surface,0,20210101,24,fc,10v,grid_simple,regular_ll,9999,9999,-4.32184,-4.19586
1,ecmf,surface,0,20210101,24,fc,2t,grid_simple,regular_ll,9999,9999,276.75,276.647
1,ecmf,surface,0,20210102,1,fc,10u,grid_simple,regular_ll,9999,9999,0.561886,0.585323
1,ecmf,surface,0,20210102,1,fc,10v,grid_simple,regular_ll,9999,9999,-4.54346,-4.43701
1,ecmf,surface,0,20210102,1,fc,2t,grid_simple,regular_ll,9999,9999,276.803,276.694
1,ecmf,surface,0,20210102,2,fc,10u,grid_simple,regular_ll,9999,9999,0.679443,0.643799
1,ecmf,surface,0,20210102,2,fc,10v,grid_simple,regular_ll,9999,9999,-5.05727,-4.88539
1,ecmf,surface,0,20210102,2,fc,2t,grid_simple,regular_ll,9999,9999,276.666,276.566
1,ecmf,surface,0,20210102,3,fc,10u,grid_simple,regular_ll,9999,9999,0.688491,0.590346
1,ecmf,surface,0,20210102,3,fc,10v,grid_simple,regular_ll,9999,9999,-5.02081,-4.82257
1,ecmf,surface,0,20210102,3,fc,2t,grid_simple,regular_ll,9999,9999,276.538,276.442
1,ecmf,surface,0,20210102,4,fc,10u,grid_simple,regular_ll,9999,9999,0.698879,0.597317
1,ecmf,surface,0,20210102,4,fc,10v,grid_simple,regular_ll,9999,9999,-4.68236,-4.47728
1,ecmf,surface,0,20210102,4,fc,2t,grid_simple,regular_ll,9999,9999,276.236,276.127
1,ecmf,surface,0,20210102,5,fc,10u,grid_simple,regular_ll,9999,9999,0.729729,0.664299
1,ecmf,surface,0,20210102,5,fc,10v,grid_simple,regular_ll,9999,9999,-4.48329,-4.27724
1,ecmf,surface,0,20210102,5,fc,2t,grid_simple,regular_ll,9999,9999,275.826,275.699
1,ecmf,surface,0,20210102,6,fc,10u,grid_simple,regular_ll,9999,9999,0.789239,0.724786
1,ecmf,surface,0,20210102,6,fc,10v,grid_simple,regular_ll,9999,9999,-4.47952,-4.25491
1,ecmf,surface,0,20210102,6,fc,2t,grid_simple,regular_ll,9999,9999,275.381,275.233
1,ecmf,surface,0,20210102,7,fc,10u,grid_simple,regular_ll,9999,9999,0.866795,0.829685
1,ecmf,surface,0,20210102,7,fc,10v,grid_simple,regular_ll,9999,9999,-4.19609,-4.03838
1,ecmf,surface,0,20210102,7,fc,2t,grid_simple,regular_ll,9999,9999,275.659,275.544
