dataDate,10u,10v,2t
2020-12-31 00:00:00,-0.362763,-2.55122,273.474
2021-01-01 00:00:00,0.386152,-4.32184,276.75
2021-01-01 01:00:00,0.0892467,-2.64879,273.036
2021-01-01 02:00:00,0.361004,-2.79338,273.134
2021-01-01 03:00:00,0.523092,-3.02689,272.99
2021-01-01 04:00:00,0.641774,-2.89026,272.869
2021-01-01 05:00:00,0.795986,-2.73384,272.564
2021-01-01 06:00:00,0.930439,-2.62532,272.489
2021-01-01 07:00:00,1.13523,-2.57109,272.668
2021-01-01 08:00:00,1.22694,-2.54678,272.374
2021-01-01 09:00:00,1.20746,-2.321,272.451
2021-01-01 10:00:00,1.20116,-2.13568,273.388
2021-01-01 11:00:00,1.42972,-2.77551,274.382
2021-01-01 12:00:00,1.44582,-2.74077,275.19
2021-01-01 13:00:00,1.52629,-2.7742,275.656
2021-01-01 14:00:00,1.60616,-2.9263,275.926
2021-01-01 15:00:00,1.5717,-2.66182,275.798
2021-01-01 16:00:00,1.4799,-2.77725,275.716
2021-01-01 17:00:00,1.45392,-2.98116,275.72
2021-01-01 18:00:00,1.34363,-3.16415,275.964
2021-01-01 19:00:00,1.06021,-2.81302,275.633
2021-01-01 20:00:00,0.912683,-3.02898,276.004
2021-01-01 21:00:00,0.784052,-3.3531,276.356
2021-01-01 22:00:00,0.620873,-3.73468,276.629
2021-01-01 23:00:00,0.471893,-4.05591,276.711
2021-01-02 00:00:00,-0.86691,-3.94501,272.352
2021-01-02 01:00:00,0.561886,-4.54346,276.803
2021-01-02 02:00:00,0.679443,-5.05727,276.666
2021-01-02 03:00:00,0.688491,-5.02081,276.538
2021-01-02 04:00:00,0.698879,-4.68236,276.236
2021-01-02 05:00:00,0.729729,-4.48329,275.826
2021-01-02 06:00:00,0.789239,-4.47952,275.381
2021-01-02 07:00:00,0.866795,-4.19609,275.659
2021-01-02 08:00:00,0.843384,-4.0695,275.646
2021-01-02 09:00:00,0.920563,-3.94929,275.548
2021-01-02 10:00:00,1.01616,-3.87677,275.666
2021-01-02 11:00:00,1.07925,-3.72636,275.935
2021-01-02 12:00:00,1.30176,-3.51943,276.4
2021-01-02 13:00:00,1.52277,-3.40865,276.753
2021-01-02 14:00:00,1.48746,-3.2367,276.823
2021-01-02 15:00:00,1.36526,-2.77016,276.505
2021-01-02 16:00:00,1.38301,-2.74227,275.785
2021-01-02 17:00:00,1.21712,-2.89876,275.234
2021-01-02 18:00:00,0.835098,-3.06498,274.829
2021-01-02 19:00:00,0.247833,-3.42543,274.368
2021-01-02 20:00:00,-0.508682,-3.70214,274.145
2021-01-02 21:00:00,-0.903448,-3.78173,273.959
2021-01-02 22:00:00,-1.00145,-3.82252,273.367
2021-01-02 23:00:00,-0.98483,-3.85184,272.752
2021-01-03 00:00:00,-3.34198,-5.01677,275.784
2021-01-03 01:00:00,-0.622634,-4.09601,272.112
2021-01-03 02:00:00,-0.745514,-4.17849,272.066
2021-01-03 03:00:00,-0.753731,-4.02958,272.312
2021-01-03 04:00:00,-0.856277,-4.244,272.541
2021-01-03 05:00:00,-0.911934,-4.25698,272.882
2021-01-03 06:00:00,-0.908467,-4.24238,273.276
2021-01-03 07:00:00,-1.5318,-4.52768,273.883
2021-01-03 08:00:00,-1.3784,-4.56616,273.891
2021-01-03 09:00:00,-1.4368,-4.68351,274.24
2021-01-03 10:00:00,-1.70142,-4.56156,275.325
2021-01-03 11:00:00,-2.12961,-5.13356,276.288
2021-01-03 12:00:00,-3.23608,-5.47535,277.264
2021-01-03 13:00:00,-3.46088,-5.12481,277.889
2021-01-03 14:00:00,-3.45052,-4.65503,278.153
2021-01-03 15:00:00,-3.21051,-4.29545,277.857
2021-01-03 16:00:00,-3.31955,-4.07838,277.284
2021-01-03 17:00:00,-3.49203,-3.89988,276.624
2021-01-03 18:00:00,-3.5481,-3.7535,276.094
2021-01-03 19:00:00,-3.46262,-4.12898,275.664
2021-01-03 20:00:00,-3.15862,-4.30452,275.268
2021-01-03 21:00:00,-3.06149,-4.6023,275.019
2021-01-03 22:00:00,-2.87965,-4.8035,275.044
2021-01-03 23:00:00,-2.81834,-4.94282,275.373
2021-01-04 00:00:00,-2.69675,-6.42519,275.005
2021-01-04 01:00:00,-3.44798,-4.99809,276.0
2021-01-04 02:00:00,-3.22813,-5.16547,275.868
2021-01-04 03:00:00,-2.90518,-5.57577,275.803
2021-01-04 04:00:00,-2.24736,-5.782,275.393
2021-01-04 05:00:00,-2.1544,-6.01507,274.919
2021-01-04 06:00:00,-2.20691,-6.18198,274.775
2021-01-04 07:00:00,-2.25232,-6.46189,275.247
2021-01-04 08:00:00,-2.89268,-6.76875,275.687
2021-01-04 09:00:00,-3.27625,-6.65943,276.343
2021-01-04 10:00:00,-3.61235,-6.54954,277.071
2021-01-04 11:00:00,-4.00319,-6.46934,277.543
2021-01-04 12:00:00,-4.22324,-6.28257,277.874
2021-01-04 13:00:00,-5.08945,-6.23543,277.999
2021-01-04 14:00:00,-4.97772,-6.0838,277.921
2021-01-04 15:00:00,-4.9229,-6.15114,277.767
2021-01-04 16:00:00,-4.78082,-6.22409,277.374
2021-01-04 17:00:00,-4.71584,-6.37212,277.077
2021-01-04 18:00:00,-4.50357,-6.37854,276.782
2021-01-04 19:00:00,-4.39001,-6.29349,276.72
2021-01-04 20:00:00,-3.93443,-6.30177,276.094
2021-01-04 21:00:00,-3.58002,-6.3515,275.609
2021-01-04 22:00:00,-3.13693,-6.39751,275.324
