edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20201231,24,fc,10u,grid_simple,regular_ll,9999,9999,-1.40671,9999
1,ecmf,surface,0,20201231,24,fc,10v,grid_simple,regular_ll,9999,9999,-3.62935,9999
1,ecmf,surface,0,20201231,24,fc,2t,grid_simple,regular_ll,9999,9999,276.146,9999
1,ecmf,surface,0,20210101,1,fc,10u,grid_simple,regular_ll,9999,9999,-1.73839,9999
1,ecmf,surface,0,20210101,1,fc,10v,grid_simple,regular_ll,9999,9999,-4.14781,9999
1,ecmf,surface,0,20210101,1,fc,2t,grid_simple,regular_ll,9999,9999,276.622,9999
1,ecmf,surface,0,20210101,2,fc,10u,grid_simple,regular_ll,9999,9999,-2.16195,9999
1,ecmf,surface,0,20210101,2,fc,10v,grid_simple,regular_ll,9999,9999,-4.71623,9999
1,ecmf,surface,0,20210101,2,fc,2t,grid_simple,regular_ll,9999,9999,276.936,9999
1,ecmf,surface,0,20210101,3,fc,10u,grid_simple,regular_ll,9999,9999,-2.43394,9999
1,ecmf,surface,0,20210101,3,fc,10v,grid_simple,regular_ll,9999,9999,-5.40091,9999
1,ecmf,surface,0,20210101,3,fc,2t,grid_simple,regular_ll,9999,9999,277.566,9999
1,ecmf,surface,0,20210101,4,fc,10u,grid_simple,regular_ll,9999,9999,-2.43342,9999
1,ecmf,surface,0,20210101,4,fc,10v,grid_simple,regular_ll,9999,9999,-5.6012,9999
1,ecmf,surface,0,20210101,4,fc,2t,grid_simple,regular_ll,9999,9999,277.928,9999
1,ecmf,surface,0,20210101,5,fc,10u,grid_simple,regular_ll,9999,9999,-2.03946,9999
1,ecmf,surface,0,20210101,5,fc,10v,grid_simple,regular_ll,9999,9999,-5.6772,9999
1,ecmf,surface,0,20210101,5,fc,2t,grid_simple,regular_ll,9999,9999,278.271,9999
1,ecmf,surface,0,20210101,6,fc,10u,grid_simple,regular_ll,9999,9999,-1.66185,9999
1,ecmf,surface,0,20210101,6,fc,10v,grid_simple,regular_ll,9999,9999,-5.41243,9999
