dataDate,10u,10v,2t
2020-12-31 00:00:00,-1.40671,-3.62935,276.146
2021-01-01 00:00:00,0.431562,-4.27399,277.233
2021-01-01 01:00:00,-1.73839,-4.14781,276.622
2021-01-01 02:00:00,-2.16195,-4.71623,276.936
2021-01-01 03:00:00,-2.43394,-5.40091,277.566
2021-01-01 04:00:00,-2.43342,-5.6012,277.928
2021-01-01 05:00:00,-2.03946,-5.6772,278.271
2021-01-01 06:00:00,-1.66185,-5.41243,278.135
2021-01-01 07:00:00,-1.57473,-5.03691,277.824
2021-01-01 08:00:00,-1.34337,-4.78604,277.639
2021-01-01 09:00:00,-1.01813,-4.6169,277.379
2021-01-01 10:00:00,-0.767593,-4.70502,277.552
2021-01-01 11:00:00,-0.751923,-4.77161,278.181
2021-01-01 12:00:00,-1.04637,-5.51909,278.687
2021-01-01 13:00:00,-0.935623,-5.11697,278.78
2021-01-01 14:00:00,-0.859665,-4.91068,278.797
2021-01-01 15:00:00,-0.765217,-4.64424,278.575
2021-01-01 16:00:00,-0.715408,-4.49893,278.177
2021-01-01 17:00:00,-0.699402,-4.25166,277.722
2021-01-01 18:00:00,-0.714964,-4.07626,277.546
2021-01-01 19:00:00,-0.578457,-4.14798,277.405
2021-01-01 20:00:00,-0.411535,-4.20183,277.263
2021-01-01 21:00:00,-0.341925,-4.14217,277.309
2021-01-01 22:00:00,-0.17063,-4.01202,277.312
2021-01-01 23:00:00,0.118866,-4.13599,277.277
2021-01-02 00:00:00,-2.86984,-5.38447,276.916
2021-01-02 01:00:00,0.71423,-4.30908,277.464
2021-01-02 02:00:00,1.2771,-4.40297,277.375
2021-01-02 03:00:00,1.84718,-4.59698,277.337
2021-01-02 04:00:00,2.48794,-4.6555,277.07
2021-01-02 05:00:00,2.96508,-4.43056,276.998
2021-01-02 06:00:00,3.21014,-4.05813,276.871
2021-01-02 07:00:00,4.18613,-4.12871,276.886
2021-01-02 08:00:00,3.93518,-4.39469,276.734
2021-01-02 09:00:00,2.90396,-5.09138,276.76
2021-01-02 10:00:00,1.54448,-5.33234,277.025
2021-01-02 11:00:00,0.515778,-5.65947,277.414
2021-01-02 12:00:00,-0.25293,-5.67275,277.554
2021-01-02 13:00:00,-0.881531,-5.72848,277.556
2021-01-02 14:00:00,-1.38364,-5.45057,277.406
2021-01-02 15:00:00,-1.59665,-5.29555,277.13
2021-01-02 16:00:00,-1.74492,-5.24422,276.58
2021-01-02 17:00:00,-1.72038,-5.22201,276.349
2021-01-02 18:00:00,-1.87584,-5.36235,276.321
2021-01-02 19:00:00,-1.86838,-5.33754,276.495
2021-01-02 20:00:00,-2.03017,-5.55175,276.471
2021-01-02 21:00:00,-2.422,-5.62987,276.576
2021-01-02 22:00:00,-2.74168,-5.50172,276.762
2021-01-02 23:00:00,-2.83639,-5.4163,276.869
2021-01-03 00:00:00,-5.29315,-2.89275,276.62
2021-01-03 01:00:00,-2.75154,-5.36798,276.724
2021-01-03 02:00:00,-2.78555,-5.45486,276.82
2021-01-03 03:00:00,-2.68244,-5.5247,276.826
2021-01-03 04:00:00,-2.66194,-5.60239,276.85
2021-01-03 05:00:00,-2.74299,-5.46889,276.829
2021-01-03 06:00:00,-2.79616,-5.47529,276.954
2021-01-03 07:00:00,-3.34723,-5.98667,277.034
2021-01-03 08:00:00,-3.50243,-5.7727,276.944
2021-01-03 09:00:00,-3.52176,-5.51798,276.828
2021-01-03 10:00:00,-3.58618,-5.29447,276.966
2021-01-03 11:00:00,-3.84152,-5.10231,277.239
2021-01-03 12:00:00,-4.22241,-4.73853,277.521
2021-01-03 13:00:00,-4.20697,-4.02568,277.742
2021-01-03 14:00:00,-3.95833,-3.24683,277.812
2021-01-03 15:00:00,-4.09821,-2.83647,277.855
2021-01-03 16:00:00,-4.17404,-2.5862,277.593
2021-01-03 17:00:00,-4.2518,-2.58982,277.361
2021-01-03 18:00:00,-4.6272,-2.78329,277.321
2021-01-03 19:00:00,-5.43918,-3.1446,277.189
2021-01-03 20:00:00,-5.6508,-3.1888,277.012
2021-01-03 21:00:00,-5.74216,-3.10669,276.896
2021-01-03 22:00:00,-5.53981,-3.02762,276.751
2021-01-03 23:00:00,-5.45506,-2.9272,276.615
2021-01-04 00:00:00,-5.25339,-4.34218,276.447
2021-01-04 01:00:00,-4.96068,-2.92631,276.453
2021-01-04 02:00:00,-4.7711,-3.03559,276.388
2021-01-04 03:00:00,-4.71768,-3.12362,276.254
2021-01-04 04:00:00,-4.66435,-3.23415,276.303
2021-01-04 05:00:00,-4.65929,-3.32416,276.302
2021-01-04 06:00:00,-4.73035,-3.46763,276.441
2021-01-04 07:00:00,-4.97888,-3.80369,276.558
2021-01-04 08:00:00,-4.97765,-3.92061,276.583
2021-01-04 09:00:00,-5.00964,-3.99097,276.7
2021-01-04 10:00:00,-5.1895,-4.0891,277.178
2021-01-04 11:00:00,-5.56081,-4.14952,277.654
2021-01-04 12:00:00,-5.97031,-4.19712,277.991
2021-01-04 13:00:00,-6.04453,-4.30574,278.116
2021-01-04 14:00:00,-5.74628,-4.39533,277.945
2021-01-04 15:00:00,-5.21587,-4.39479,277.793
2021-01-04 16:00:00,-5.15192,-4.55124,277.628
2021-01-04 17:00:00,-5.30275,-4.57622,277.462
2021-01-04 18:00:00,-5.29361,-4.58166,277.278
2021-01-04 19:00:00,-5.39197,-4.84036,277.003
2021-01-04 20:00:00,-5.20006,-4.83888,276.644
2021-01-04 21:00:00,-5.17865,-4.87592,276.537
2021-01-04 22:00:00,-5.26291,-4.80766,276.49
2021-01-04 23:00:00,-5.3644,-4.59619,276.505
2021-01-05 00:00:00,-3.60985,-3.41493,276.079
2021-01-05 01:00:00,-4.95573,-4.26358,276.305
2021-01-05 02:00:00,-4.77596,-4.45253,276.27
2021-01-05 03:00:00,-4.55484,-4.69536,276.213
2021-01-05 04:00:00,-4.38663,-4.8902,276.155
2021-01-05 05:00:00,-4.29051,-4.96004,276.301
2021-01-05 06:00:00,-4.17192,-4.87266,276.225
2021-01-05 07:00:00,-4.05318,-4.92389,276.5
2021-01-05 08:00:00,-4.1091,-4.8392,276.329
2021-01-05 09:00:00,-4.19717,-4.86512,276.26
2021-01-05 10:00:00,-4.29634,-4.94938,276.637
2021-01-05 11:00:00,-4.96371,-5.33056,277.129
2021-01-05 12:00:00,-4.9381,-5.267,277.373
2021-01-05 13:00:00,-4.65137,-5.23767,277.434
2021-01-05 14:00:00,-4.69838,-5.2242,277.564
2021-01-05 15:00:00,-4.29225,-4.76205,277.452
2021-01-05 16:00:00,-4.11664,-4.54976,277.217
2021-01-05 17:00:00,-4.05602,-4.31679,276.986
2021-01-05 18:00:00,-4.02809,-4.27132,276.888
