# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2021-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 50.6095
# Longitude (positive East, ISO 19115): -2.4548
# Altitude (m): 0.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-15
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-01T00:00:00.0/2021-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T01:00:00.0/2021-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T02:00:00.0/2021-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T03:00:00.0/2021-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T04:00:00.0/2021-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T05:00:00.0/2021-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T06:00:00.0/2021-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T07:00:00.0/2021-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T08:00:00.0/2021-01-01T09:00:00.0;75.1804;35.1230;19.7227;15.4003;259.0557;27.8311;8.5106;19.3205;102.8463;1.0000
2021-01-01T09:00:00.0/2021-01-01T10:00:00.0;226.1754;136.8274;98.2526;38.5748;602.6288;97.0154;19.1594;77.8560;120.2857;1.0000
2021-01-01T10:00:00.0/2021-01-01T11:00:00.0;333.3185;221.5357;171.8678;49.6678;724.3949;136.6552;19.8606;116.7947;87.4179;1.0000
2021-01-01T11:00:00.0/2021-01-01T12:00:00.0;388.8234;266.7896;212.1443;54.6454;767.9962;148.8180;10.4496;138.3684;37.5535;1.0000
2021-01-01T12:00:00.0/2021-01-01T13:00:00.0;388.9081;266.7163;212.5933;54.1230;769.4578;123.1425;0.1805;122.9620;0.6821;1.0000
2021-01-01T13:00:00.0/2021-01-01T14:00:00.0;333.5681;221.1281;172.3406;48.7876;725.8575;121.7205;1.1074;120.6131;4.7875;1.0000
2021-01-01T14:00:00.0/2021-01-01T15:00:00.0;226.5765;136.4671;98.7774;37.6897;604.8594;92.7034;17.5001;75.2033;124.8724;1.0000
2021-01-01T15:00:00.0/2021-01-01T16:00:00.0;75.6686;35.0061;19.7730;15.2332;260.1501;28.1848;11.5337;16.6511;134.3866;1.0000
2021-01-01T16:00:00.0/2021-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T17:00:00.0/2021-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T18:00:00.0/2021-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T19:00:00.0/2021-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T20:00:00.0/2021-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T21:00:00.0/2021-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T22:00:00.0/2021-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-01T23:00:00.0/2021-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T00:00:00.0/2021-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T01:00:00.0/2021-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T02:00:00.0/2021-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T03:00:00.0/2021-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T04:00:00.0/2021-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T05:00:00.0/2021-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T06:00:00.0/2021-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T07:00:00.0/2021-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T08:00:00.0/2021-01-02T09:00:00.0;76.9380;36.1510;20.8395;15.3115;272.2190;30.1599;14.5144;15.6455;166.7334;1.0000
2021-01-02T09:00:00.0/2021-01-02T10:00:00.0;228.1711;138.4167;101.0712;37.3455;614.7628;123.2275;91.9509;31.2766;558.2023;1.0000
2021-01-02T10:00:00.0/2021-01-02T11:00:00.0;335.3943;223.7119;176.1268;47.5851;737.7524;205.9819;169.2290;36.7529;708.4351;1.0000
2021-01-02T11:00:00.0/2021-01-02T12:00:00.0;390.9442;269.8325;217.7314;52.1011;783.9542;236.2248;178.5271;57.6977;645.1286;1.0000
2021-01-02T12:00:00.0/2021-01-02T13:00:00.0;391.0363;268.6842;214.9414;53.7428;773.6270;172.7281;44.0232;128.7049;157.4892;1.0000
2021-01-02T13:00:00.0/2021-01-02T14:00:00.0;335.6656;221.2378;169.8241;51.4137;710.3370;144.0117;33.2003;110.8114;137.2408;1.0000
2021-01-02T14:00:00.0/2021-01-02T15:00:00.0;228.6074;135.2664;93.3439;41.9225;564.8564;84.1193;6.1078;78.0116;42.7632;1.0000
2021-01-02T15:00:00.0/2021-01-02T16:00:00.0;77.4743;34.8140;17.7410;17.0730;226.5657;26.8122;6.3525;20.4597;74.1272;1.0000
2021-01-02T16:00:00.0/2021-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T17:00:00.0/2021-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T18:00:00.0/2021-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T19:00:00.0/2021-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T20:00:00.0/2021-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T21:00:00.0/2021-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T22:00:00.0/2021-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-02T23:00:00.0/2021-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T00:00:00.0/2021-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T01:00:00.0/2021-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T02:00:00.0/2021-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T03:00:00.0/2021-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T04:00:00.0/2021-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T05:00:00.0/2021-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T06:00:00.0/2021-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T07:00:00.0/2021-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T08:00:00.0/2021-01-03T09:00:00.0;78.8689;35.6714;18.4911;17.1802;234.4661;29.8033;12.5412;17.2620;139.1663;1.0000
2021-01-03T09:00:00.0/2021-01-03T10:00:00.0;230.3312;136.9216;95.4889;41.4327;574.2337;114.3991;65.6904;48.7087;408.6396;1.0000
2021-01-03T10:00:00.0/2021-01-03T11:00:00.0;337.6385;221.9642;170.2070;51.7572;708.0012;157.8683;65.7196;92.1488;270.2728;1.0000
2021-01-03T11:00:00.0/2021-01-03T12:00:00.0;393.2355;267.8578;212.4621;55.3958;760.5024;174.1671;56.2941;117.8730;203.6631;1.0000
2021-01-03T12:00:00.0/2021-01-03T13:00:00.0;393.3346;266.6473;208.9078;57.7395;747.4794;143.3786;5.7415;137.6371;20.5636;1.0000
2021-01-03T13:00:00.0/2021-01-03T14:00:00.0;337.9307;219.3339;163.3557;55.9782;678.5149;159.8566;74.3368;85.5198;322.1179;1.0000
2021-01-03T14:00:00.0/2021-01-03T15:00:00.0;230.8016;133.6684;88.1032;45.5652;527.3091;95.0607;41.0594;54.0013;237.6019;1.0000
2021-01-03T15:00:00.0/2021-01-03T16:00:00.0;79.4589;34.5635;16.1868;18.3767;202.3137;27.8615;8.8116;19.0498;96.8488;1.0000
