Temperature,West_East_Wind,South_North_Wind
9.276764,4.3871155,0.46073818
9.1354065,4.158737,-0.03417492
9.097565,3.4856262,-0.98396873
8.799957,2.5480194,-1.6710358
8.466949,1.8620911,-2.0769348
8.126129,1.3708038,-2.1108093
7.4652405,0.91459656,-1.9885559
7.476227,0.95040894,-2.641037
7.034088,0.79444885,-2.2839508
6.3819885,0.8080292,-1.894577
5.9930725,0.8701172,-1.6396637
6.329254,0.7710266,-1.4935455
6.5450745,0.705719,-1.7257996
6.876129,0.5033722,-2.1588135
6.992584,0.4020996,-2.1135712
6.8592834,0.26408386,-1.8377991
6.4791565,-0.085632324,-1.8551483
5.7706604,-0.5943451,-1.9134827
5.150299,-1.0111084,-1.822815
4.552643,-1.2406769,-1.7989044
3.8475647,-1.3833923,-1.5906067
2.9718323,-1.2775574,-1.322937
1.9877014,-1.1703644,-1.0919647
1.6756897,-1.1695328,-0.79045105
1.9994202,-1.1187372,-0.46105957
3.26651,-0.88993454,0.008605957
2.9947815,-0.77259827,0.28482056
1.8500061,-0.9553528,0.55278015
0.9220276,-1.0435772,0.8270874
0.6559143,-1.0285549,1.0527954
0.8507385,-1.0199652,1.0384064
0.44863892,-0.9698057,1.0161896
0.39785767,-1.0455437,1.1314392
0.43740845,-0.9635086,1.2945557
1.3375549,-0.7748909,1.3269043
3.1400452,-0.7076702,1.374527
4.1437073,-0.70350647,1.5431824
4.448395,-0.7055664,1.6227875
4.7313538,-0.77265835,1.9526825
4.757477,-0.71585274,1.9524231
4.3087463,-0.7358284,1.8320465
3.6471252,-0.76864624,1.8227081
3.417633,-0.7761631,1.7758026
3.8939514,-0.7152691,1.9347229
3.9588928,-0.62311745,2.0758514
3.9095764,-0.57798576,1.972168
3.8182678,-0.53892994,1.934845
3.5245667,-0.42229652,1.9204559
3.14151,-0.38439083,1.75243
2.948639,-0.46162415,1.5484943
2.7115784,-0.47732544,1.6054049
2.23526,-0.57969666,1.6732702
2.552887,-0.5755005,1.6245489
2.10318,-0.59055996,1.6720324
2.171051,-0.45953083,1.5873489
3.320465,-0.31628418,1.6664238
3.3002014,-0.48706055,1.6642447
3.1581116,-0.45178223,1.7223511
3.4735413,-0.31843376,1.6312323
3.881012,-0.29707432,1.6553688
4.333893,-0.30502415,1.6972008
4.843048,-0.36694622,1.9248362
4.948517,-0.52638817,1.8267488
4.7394104,-0.6113701,1.936142
4.5987854,-0.5944538,1.9553595
4.363434,-0.51588345,1.9721394
4.4493713,-0.3513136,2.0172596
4.6410217,-0.13962936,2.1302986
4.662506,-0.032967567,2.0791779
4.5294495,-0.09012604,1.9999084
4.4203186,-0.082826614,1.9837189
4.2828674,-0.07936287,2.066988
4.351227,-0.09854126,2.0667763
4.6896057,-0.07325745,2.0406723
4.559967,0.14996338,2.0061264
4.334137,0.3922882,1.9315033
4.5296936,0.41897583,1.7624063
4.3316956,0.46136475,1.7658281
4.134918,0.5547638,1.786602
4.0055237,0.5183563,2.0569916
3.8431702,0.3244629,2.037302
3.407135,-0.056152344,2.074953
3.4598694,-0.1378479,2.0224323
4.085846,-0.023803711,2.1318207
4.6251526,0.10267639,2.2001953
5.019684,0.41871643,2.4733582
5.108795,0.51086426,2.2334595
5.0592346,0.6227722,2.2315521
4.4564514,0.37676048,2.0257568
3.6393127,-0.0032958984,1.9794617
3.146881,-0.1276226,1.8935852
2.4615784,-0.018800735,1.9638519
1.997467,0.053367615,2.0497894
1.7047424,0.064920425,2.0834503
1.3182678,0.059101105,2.1062317
0.8158264,-0.039375305,2.1460876
0.76138306,-0.09732628,2.1182709
0.79263306,-0.12361717,2.1522064
1.1131897,-0.041316986,2.208847
1.3170471,0.10479736,2.1582985
1.2450256,0.25961494,2.1165485
0.8902893,0.29574203,2.1643162
1.0467834,0.28581238,2.2214308
1.4256897,0.27758121,2.1152344
1.4527893,0.327425,2.199646
1.5704651,0.19125938,2.237503
2.3055725,0.19364548,2.1674042
3.1515198,0.40471554,2.2683716
4.554962,0.67139816,2.483963
5.1213684,0.79097366,2.502533
5.542389,0.88161945,2.423935
5.531891,0.84070015,2.6615753
5.3631897,0.70900726,2.7245789
5.1524963,0.7401886,2.8124466
5.0226135,0.8491211,2.8915043
5.372711,1.2549133,2.703226
5.619293,1.3441772,2.6153355
5.805084,1.3291321,2.5415096
6.0961,1.4026184,2.5096455
6.3771057,1.3370819,2.4573193
6.5690002,1.2643433,2.3182297
6.400299,1.3006134,2.173973
6.5326233,1.3511963,2.0338287
6.634186,1.3726349,1.9380951
6.751129,1.4102821,1.901413
6.8468323,1.2868404,1.7681274
6.873932,0.79709053,1.6786957
7.1737366,1.2696218,1.6947632
7.256256,1.1233902,1.7700806
7.315338,1.023015,1.8939362
7.351471,0.968338,1.9908752
7.4100647,0.9117584,2.072052
7.467804,0.95474243,2.1103516
7.5624084,1.001709,2.1815186
7.6648254,0.8820801,2.2852325
7.6824036,0.80358887,2.4388123
7.6905823,0.81900024,2.5456543
7.7411194,0.9026642,2.725113
7.8663635,1.192276,2.9561768
8.388336,1.6189117,3.0420532
8.260529,1.6534119,3.1695862
8.589264,1.9170227,3.3442287
8.813873,2.2710419,3.4404736
8.876862,2.6529388,3.2388773
8.979401,3.059021,3.0674534
9.19693,3.2658386,3.2601395
9.654938,3.7923126,3.0917053
10.093658,4.239197,3.2503052
10.185699,4.866562,3.4545746
9.764069,5.296875,3.375183
9.204254,5.4558563,3.1282806
9.092072,5.2531433,3.3506012
8.991974,5.306839,3.2746887
9.086334,5.4992676,2.4201355
9.256622,5.5237427,0.4715271
8.846466,5.6557007,-1.3765869
7.8856506,5.288971,-1.2215881
7.4978333,5.223999,-0.9037781
7.710846,5.3947144,-0.99246216
7.5731506,5.3128967,-1.2564697
7.4532776,5.155304,-1.732544
7.2657776,4.9382324,-2.141159
7.0768127,4.7239685,-2.334198
7.163971,4.861374,-2.5268707
7.073639,4.671814,-2.6313019
6.881012,4.5598755,-2.7305603
6.801422,4.553009,-2.8770447
6.6219788,4.414871,-3.0216064
6.6197815,4.150528,-3.1858368
6.592682,3.6492462,-3.1345978
6.3771057,3.3065643,-3.2209473
6.2345276,3.0738525,-3.2693691
5.9759827,2.8206482,-3.2625122
5.851227,2.6072083,-3.1638489
5.603668,2.403717,-2.8571472
5.629059,2.3964539,-2.8952637
5.2967834,2.3096313,-2.5971003
5.2552795,2.2967682,-2.3811378
5.5069885,2.2553864,-2.528099
5.905426,2.049286,-2.1582508
6.05484,2.2060394,-2.17424
6.2064514,2.3589935,-2.7782745
6.384186,2.3999329,-3.1091309
6.2259827,2.289917,-2.7984772
5.7792053,2.1432495,-2.8468018
5.5189514,1.908081,-2.93581
5.360504,1.7646942,-2.8926353
5.447174,1.7043457,-2.3231068
5.433502,1.5859985,-2.3656025
5.2191467,1.4758301,-2.2304296
5.1063538,1.3782959,-2.1598272
5.0812073,1.3118896,-2.0957985
5.1805725,1.1630859,-1.9516773
5.288971,0.97010803,-1.7328491
4.9772034,0.9537506,-1.4695282
4.453766,1.0770874,-1.2052307
3.896881,0.9147339,-1.0028076
3.8646545,0.7750702,-0.87654114
3.840973,0.827713,-0.67354584
3.7123108,0.56166077,-0.9397049
3.8172913,0.6925812,-0.7048912
3.61734,0.9415436,-0.28100586
3.1825256,0.9566803,0.18218994
4.1322327,0.57717896,0.35417175
5.3714905,0.6044464,0.54467773
